ENTREZID,Uniprot.ID,Gene.name,kidney,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,kidney.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102465534,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,102465534,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601
1071,P11597,CETP,NA,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,1071,P11597,CETP,NA,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601
335,P02647,APOA1,0.2190834719902208,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,335,P02647,APOA1,0.4678961638162564,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601
336,P02652,APOA2,0.2668194549091256,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,336,P02652,APOA2,0.5149250537446018,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601
338,P04114,APOB,0.25357316548416786,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,338,P04114,APOB,0.33074476201781605,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601
345,P02656,APOC3,0.2900804620548064,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,345,P02656,APOC3,0.39137159800691906,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601
348,P02649,APOE,0.38649371978299046,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,348,P02649,APOE,0.38539928300530235,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601
3931,P04180,LCAT,NA,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3931,P04180,LCAT,NA,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601
3949,P01130,LDLR,0.2942626824231835,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3949,P01130,LDLR,0.23660923008309237,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601
4023,P06858,LPL,0.20179614730150214,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,4023,P06858,LPL,0.2238851518758857,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601
