ENTREZID,Uniprot.ID,Gene.name,lung,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,lung.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102465534,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,102465534,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601
1071,P11597,CETP,NA,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,1071,P11597,CETP,NA,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601
335,P02647,APOA1,0.2717099822039553,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,335,P02647,APOA1,0.8160865619261997,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601
336,P02652,APOA2,0.30239587315256655,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,336,P02652,APOA2,0.7252308130900891,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601
338,P04114,APOB,0.5056428037846917,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,338,P04114,APOB,0.580259535822693,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601
345,P02656,APOC3,0.4303169798819738,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,345,P02656,APOC3,0.7559383443769249,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601
348,P02649,APOE,0.412225275871112,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,348,P02649,APOE,0.4176100696524176,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601
3931,P04180,LCAT,0.4092171586691746,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3931,P04180,LCAT,0.5251744278352715,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601
3949,P01130,LDLR,0.4313530407060576,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3949,P01130,LDLR,0.31565552523153106,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601
4023,P06858,LPL,0.38373759278751685,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,4023,P06858,LPL,0.33007540599128493,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601
