ENTREZID,Uniprot.ID,Gene.name,spleen,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,spleen.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
120227,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,120227,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531
1591,Q07973,CYP24A1,NA,CYP24A1,ENSG00000019186,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1591,Q07973,CYP24A1,NA,CYP24A1,ENSG00000019186,Vitamin D metabolism,WikiPathways_20210910,WP1531
1593,Q02318,CYP27A1,0.07224989761351482,CYP27A1,ENSG00000135929,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1593,Q02318,CYP27A1,0.0770822620976246,CYP27A1,ENSG00000135929,Vitamin D metabolism,WikiPathways_20210910,WP1531
1594,O15528,CYP27B1,NA,CYP27B1,ENSG00000111012,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1594,O15528,CYP27B1,2.5766660856485126,CYP27B1,ENSG00000111012,Vitamin D metabolism,WikiPathways_20210910,WP1531
1717,Q9UBM7,DHCR7,0.17148554221403006,DHCR7,ENSG00000172893,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,1717,Q9UBM7,DHCR7,0.13556423148269947,DHCR7,ENSG00000172893,Vitamin D metabolism,WikiPathways_20210910,WP1531
2638,P02774,GC,0.16412532527105203,GC,ENSG00000145321,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,2638,P02774,GC,0.33389328765281184,GC,ENSG00000145321,Vitamin D metabolism,WikiPathways_20210910,WP1531
5741,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,5741,NA,NA,NA,NA,NA,Vitamin D metabolism,WikiPathways_20210910,WP1531
6256,P19793,RXRA,0.28882035536548173,RXRA,ENSG00000186350,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,6256,P19793,RXRA,0.4099089817774984,RXRA,ENSG00000186350,Vitamin D metabolism,WikiPathways_20210910,WP1531
6257,P28702,RXRB,0.34277090573614794,RXRB,ENSG00000204231,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,6257,P28702,RXRB,0.38604473348603763,RXRB,ENSG00000204231,Vitamin D metabolism,WikiPathways_20210910,WP1531
7421,P11473,VDR,NA,VDR,ENSG00000111424,Vitamin D metabolism,WikiPathways_20210910,WP1531,Homo sapiens,7421,P11473,VDR,NA,VDR,ENSG00000111424,Vitamin D metabolism,WikiPathways_20210910,WP1531
