id,name,difference
WP383,Striated muscle contraction pathway,0.19610320265783
WP4518,"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",-0.104694946771028
WP496,Steroid biosynthesis,0.131685186635988
WP4271,Vitamin B12 disorders,-0.125227467619949
WP4873,Peroxiredoxin 2 induced ovarian failure,-0.14262845426196
WP1531,Vitamin D metabolism,-0.188483468355395
WP1742,TP53 network,-0.114072215023837
WP5089,Kinin-Kallikrein pathway,-0.11554118328178101
WP2291,Deregulation of Rab and Rab effector genes in bladder cancer,-0.110132800055089
WP3413,NOTCH1 regulation of endothelial cell calcification,0.106084426829744
