ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
102465508,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,102465508,NA,NA,NA,NA,NA,Complement and coagulation cascades,WikiPathways_20210910,WP558
10747,O00187,MASP2,NA,MASP2,ENSG00000009724,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,10747,O00187,MASP2,NA,MASP2,ENSG00000009724,Complement and coagulation cascades,WikiPathways_20210910,WP558
1191,P10909,CLU,0.45706398758760197,CLU,ENSG00000120885,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1191,P10909,CLU,0.42572980459609877,CLU,ENSG00000120885,Complement and coagulation cascades,WikiPathways_20210910,WP558
1213,Q00610,CLTC,0.34419571587143494,CLTC,ENSG00000141367,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1213,Q00610,CLTC,0.3455697560563922,CLTC,ENSG00000141367,Complement and coagulation cascades,WikiPathways_20210910,WP558
1361,Q96IY4,CPB2,0.2705856798848247,CPB2,ENSG00000080618,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1361,Q96IY4,CPB2,0.347486138076573,CPB2,ENSG00000080618,Complement and coagulation cascades,WikiPathways_20210910,WP558
1378,P17927,CR1,NA,CR1,ENSG00000203710,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1378,P17927,CR1,NA,CR1,ENSG00000203710,Complement and coagulation cascades,WikiPathways_20210910,WP558
1380,P20023,CR2,NA,CR2,ENSG00000117322,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1380,P20023,CR2,NA,CR2,ENSG00000117322,Complement and coagulation cascades,WikiPathways_20210910,WP558
1604,P08174,CD55,0.34091979340016265,CD55,ENSG00000196352,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1604,P08174,CD55,0.3736842129970155,CD55,ENSG00000196352,Complement and coagulation cascades,WikiPathways_20210910,WP558
1675,P00746,CFD,0.2766915288450397,CFD,ENSG00000197766,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,1675,P00746,CFD,0.35048061379553075,CFD,ENSG00000197766,Complement and coagulation cascades,WikiPathways_20210910,WP558
2147,P00734,F2,0.26344668910973246,F2,ENSG00000180210,Complement and coagulation cascades,WikiPathways_20210910,WP558,Homo sapiens,2147,P00734,F2,0.42268830816205105,F2,ENSG00000180210,Complement and coagulation cascades,WikiPathways_20210910,WP558
