ENTREZID,Uniprot.ID,Gene.name,lung,spleen,liver,heart,kidney,testi,thyroid,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,lung.1,spleen.1,liver.1,heart.1,kidney.1,testi.1,thyroid.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1,org.1
1369,P15169,CPN1,0.4093525495589595,0.35460552460835276,0.36376577596832044,0.2587128801274824,0.3249901645900445,NA,0.19091037178275982,CPN1,ENSG00000120054,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,1369,P15169,CPN1,0.46886404014818783,0.46486198076603424,0.3651134316275772,0.2748503200166648,0.3907306413802018,NA,0.43545149782737574,CPN1,ENSG00000120054,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
1586,P05093,CYP17A1,0.17379793037046024,NA,0.044556091857371125,NA,0.1597882825008971,0.32288057309830637,NA,CYP17A1,ENSG00000148795,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,1586,P05093,CYP17A1,0.10151795524840986,0.10494210819204633,0.06539296156199156,0.07347395276966545,0.1727258041720328,0.6173149332982937,NA,CYP17A1,ENSG00000148795,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
2165,P05160,F13B,0.5216305280675565,0.3643633546157308,0.2792105126013952,NA,0.3139257782445072,NA,NA,F13B,ENSG00000143278,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,2165,P05160,F13B,0.5535391751859868,0.4903097083011582,0.2625697332175499,NA,0.48090081606698054,NA,NA,F13B,ENSG00000143278,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3284,P26439,HSD3B2,NA,NA,NA,NA,NA,0.39308360208945653,NA,HSD3B2,ENSG00000203859,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3284,P26439,HSD3B2,NA,NA,NA,NA,NA,0.7722043139713188,NA,HSD3B2,ENSG00000203859,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3293,P37058,HSD17B3,NA,NA,NA,NA,NA,0.5554088655588745,NA,HSD17B3,ENSG00000130948,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3293,P37058,HSD17B3,NA,NA,NA,NA,NA,0.5797835966168101,NA,HSD17B3,ENSG00000130948,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3294,P37059,HSD17B2,0.035322986022294285,NA,0.4682057430903539,NA,0.09498463696867288,NA,NA,HSD17B2,ENSG00000086696,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3294,P37059,HSD17B2,0.03656236231233308,0.05861579701056173,0.6396524722562373,NA,0.13668719710898913,NA,NA,HSD17B2,ENSG00000086696,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
3295,P51659,HSD17B4,0.26229284797903285,0.13915651270607615,0.529045170765769,0.13065534902203058,0.21416570732452586,0.17219412846693066,0.3517963068970235,HSD17B4,ENSG00000133835,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,3295,P51659,HSD17B4,0.21682542326604748,0.13545069934551376,0.5127066261192442,0.11682904054432496,0.19242071735450872,0.17190189073172402,0.2635256072618828,HSD17B4,ENSG00000133835,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
51478,P56937,HSD17B7,0.2275010649714303,0.21055456227016583,0.4885448412647905,NA,0.21169362902441768,0.2489046505616794,0.377602177293174,HSD17B7,ENSG00000132196,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens,51478,P56937,HSD17B7,0.15811109151983396,0.16633901426102968,0.4336631800731747,NA,0.18346465169341167,0.30937462491667045,0.353504069475455,HSD17B7,ENSG00000132196,Steroid biosynthesis,WikiPathways_20210910,WP496,Homo sapiens
