ENTREZID,Uniprot.ID,Gene.name,lung,spleen,liver,heart,kidney,testi,thyroid,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,lung.1,spleen.1,liver.1,heart.1,kidney.1,testi.1,thyroid.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1,org.1
102465534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,102465534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
1071,P11597,CETP,NA,NA,NA,NA,NA,NA,0.34507298617855203,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,1071,P11597,CETP,NA,NA,NA,NA,NA,NA,0.42434796477012315,CETP,ENSG00000087237,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
335,P02647,APOA1,0.2717099822039553,0.15304329545433665,0.20680339643962423,0.20967019277107493,0.2190834719902208,0.25507944242757574,0.11445529522462548,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,335,P02647,APOA1,0.8160865619261997,0.35313278943981635,0.30294390617769684,0.3453955155397507,0.4678961638162564,0.6138418218760692,0.46877058583638254,APOA1,ENSG00000118137,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
336,P02652,APOA2,0.30239587315256655,0.1615617618172254,0.25366102094672677,0.1467806195454345,0.2668194549091256,0.24164607800138882,0.12256535833546432,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,336,P02652,APOA2,0.7252308130900891,0.3873643985169532,0.29391474103110216,0.37156039930428797,0.5149250537446018,0.6021468415396113,0.43030085578529653,APOA2,ENSG00000158874,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
338,P04114,APOB,0.5056428037846917,0.2389017398045726,0.33612604617794267,0.18750587798262253,0.25357316548416786,0.19534605834841964,0.16773075170648027,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,338,P04114,APOB,0.580259535822693,0.3982997036753974,0.40764579706255577,0.19899290921297058,0.33074476201781605,0.21266692879342336,0.4640521513797006,APOB,ENSG00000084674,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
345,P02656,APOC3,0.4303169798819738,0.23480005154886255,0.43440255229435376,0.2576406876846159,0.2900804620548064,0.253725595250898,0.18926566893454838,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,345,P02656,APOC3,0.7559383443769249,0.27106123278077704,0.49180510154930834,0.23698487243468508,0.39137159800691906,0.2966651902615311,0.43982724464023015,APOC3,ENSG00000110245,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
348,P02649,APOE,0.412225275871112,0.3767486658585524,0.28354620422757465,0.15820372971662058,0.38649371978299046,0.22911845532895195,0.30163758272687147,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,348,P02649,APOE,0.4176100696524176,0.3189572518791948,0.3305828582187213,0.12717681469560912,0.38539928300530235,0.3273180576879235,0.3602525081936709,APOE,ENSG00000130203,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
3931,P04180,LCAT,0.4092171586691746,NA,0.4456749525580911,NA,NA,0.3378983256450362,NA,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3931,P04180,LCAT,0.5251744278352715,0.529986128254395,0.4004516399569459,NA,NA,0.3618033589256874,NA,LCAT,ENSG00000213398,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
3949,P01130,LDLR,0.4313530407060576,0.2981721524741333,0.3053782432736738,NA,0.2942626824231835,0.25806231201091956,NA,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,3949,P01130,LDLR,0.31565552523153106,0.3170020008615667,0.30153637722769283,NA,0.23660923008309237,0.34411706783031026,NA,LDLR,ENSG00000130164,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
4023,P06858,LPL,0.38373759278751685,NA,NA,0.3380263899750109,0.20179614730150214,0.18292796923699245,0.26170883270151163,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens,4023,P06858,LPL,0.33007540599128493,0.21576970841764315,NA,0.4033302746123528,0.2238851518758857,0.14245204006634052,0.1927665157601175,LPL,ENSG00000175445,Lipid particles composition,WikiPathways_20210910,WP3601,Homo sapiens
