ENTREZID,Uniprot.ID,Gene.name,testi,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,testi.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
100302263,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,100302263,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
10062,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,10062,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
10654,Q15126,PMVK,0.2680160207819191,PMVK,ENSG00000163344,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,10654,Q15126,PMVK,0.326499714725037,PMVK,ENSG00000163344,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
10682,Q15125,EBP,0.20352241682258485,EBP,ENSG00000147155,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,10682,Q15125,EBP,0.27044590801796253,EBP,ENSG00000147155,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
10858,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,10858,NA,NA,NA,NA,NA,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
10965,P49753,ACOT2,NA,ACOT2,ENSG00000119673,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,10965,P49753,ACOT2,NA,ACOT2,ENSG00000119673,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
1593,Q02318,CYP27A1,0.12070551565827393,CYP27A1,ENSG00000135929,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,1593,Q02318,CYP27A1,0.11146415158665395,CYP27A1,ENSG00000135929,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
1595,Q16850,CYP51A1,0.3593041423499324,CYP51A1,ENSG00000001630,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,1595,Q16850,CYP51A1,0.5524005011606836,CYP51A1,ENSG00000001630,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
1717,Q9UBM7,DHCR7,0.39480177716271103,DHCR7,ENSG00000172893,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,1717,Q9UBM7,DHCR7,0.5665081992446233,DHCR7,ENSG00000172893,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
1718,Q15392,DHCR24,0.3355381324431508,DHCR24,ENSG00000116133,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,1718,Q15392,DHCR24,0.653983907374069,DHCR24,ENSG00000116133,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
19,O95477,ABCA1,0.33905373570913916,ABCA1,ENSG00000165029,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718,Homo sapiens,19,O95477,ABCA1,0.2840244503226455,ABCA1,ENSG00000165029,Cholesterol metabolism with Bloch and Kandutsch-Russell pathways,WikiPathways_20210910,WP4718
