id,name,difference
WP206,Fatty acid omega-oxidation,0.112565359571744
WP4846,SARS-CoV-2 and COVID-19 pathway,0.125389942513152
WP383,Striated muscle contraction pathway,0.130749874785186
WP5089,Kinin-Kallikrein pathway,-0.186888088562742
WP430,Statin inhibition of cholesterol production,-0.151031633837014
WP5109,Familial hyperlipidemia type 2,-0.162639132068612
WP4522,"Metabolic pathway of LDL, HDL and TG, including diseases",-0.12074448988909
MINERVA Virus replication cycle,MINERVA Virus replication cycle,0.125389942513152
WP3601,Lipid particles composition,-0.241035186850748
WP272,Blood clotting cascade,-0.142387068445277
WP4927,"COVID-19, thrombosis and anticoagulation",-0.232860914388214
