ENTREZID,Uniprot.ID,Gene.name,lung,spleen,liver,heart,kidney,testi,thyroid,SYMBOL,ENSEMBL,name,thyroid.1,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,pathway_data....i...19..,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
124,P07327,ADH1A,0.04374203772737278,0.022307049710299332,0.5027797841192524,0.040748038103665306,0.04460892474269435,0.039810554148350386,NA,ADH1A,ENSG00000187758,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,124,P07327,ADH1A,NA,ADH1A,ENSG00000187758,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
125,P00325,ADH1B,0.15966743431471234,0.16251169341852167,0.5827544248686671,0.06339262268063728,0.1655846994191466,0.04555766913654776,0.35878482551785873,ADH1B,ENSG00000196616,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,125,P00325,ADH1B,0.24503533968911748,ADH1B,ENSG00000196616,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
126,P00326,ADH1C,0.20650205758868553,0.04695398269855299,0.6369431820519055,0.05234962542367009,0.1581051744594376,0.1368473499574541,0.40719963680415583,ADH1C,ENSG00000248144,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,126,P00326,ADH1C,0.31770525236841746,ADH1C,ENSG00000248144,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
127,P08319,ADH4,0.02402020056812018,0.017647009715855953,0.5527645125684681,0.03662889536216113,0.04981066730786262,0.018201022496291276,0.3672689291560609,ADH4,ENSG00000198099,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,127,P08319,ADH4,0.23826361428718568,ADH4,ENSG00000198099,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
130,P28332,ADH6,0.04219473087129436,0.0259320316533671,0.4985689855032086,0.03346608232114363,0.1600446051258993,0.011570443597278159,NA,ADH6,ENSG00000172955,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,130,P28332,ADH6,NA,ADH6,ENSG00000172955,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
131,P40394,ADH7,0.592750254484125,NA,0.4694538137671267,NA,0.8106238473141171,0.4669565452730776,NA,ADH7,ENSG00000196344,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,131,P40394,ADH7,NA,ADH7,ENSG00000196344,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1543,P04798,CYP1A1,NA,NA,0.3961266679085692,NA,NA,NA,NA,CYP1A1,ENSG00000140465,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1543,P04798,CYP1A1,NA,CYP1A1,ENSG00000140465,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1544,P05177,CYP1A2,0.035923125892262694,NA,0.6516373538462772,NA,0.05675916569988013,NA,NA,CYP1A2,ENSG00000140505,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1544,P05177,CYP1A2,NA,CYP1A2,ENSG00000140505,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1548,P11509,CYP2A6,0.09738586764886209,NA,0.6093542537500132,0.02610299304419921,0.07730376648739185,0.042339204563550614,NA,CYP2A6,ENSG00000255974,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1548,P11509,CYP2A6,NA,CYP2A6,ENSG00000255974,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1565,P10635,CYP2D6,0.22899885498304112,NA,0.4817232287120768,0.10249607295104979,0.11216125521835213,NA,NA,CYP2D6,ENSG00000100197,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1565,P10635,CYP2D6,NA,CYP2D6,ENSG00000100197,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1571,P05181,CYP2E1,0.05719682255842999,0.04116038000055811,0.6096522046040398,0.058685692316402305,0.07175208922710803,0.03838169146769572,NA,CYP2E1,ENSG00000130649,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1571,P05181,CYP2E1,NA,CYP2E1,ENSG00000130649,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1576,P08684,CYP3A4,0.04846769988516091,0.01164506250560931,0.6187539054575283,0.09231426131890734,0.0453920185263948,0.025387799890407722,NA,CYP3A4,ENSG00000160868,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1576,P08684,CYP3A4,NA,CYP3A4,ENSG00000160868,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1579,Q02928,CYP4A11,NA,NA,0.46594642394913677,NA,0.37151334269653197,NA,NA,CYP4A11,ENSG00000187048,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1579,Q02928,CYP4A11,NA,CYP4A11,ENSG00000187048,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
216,P00352,ALDH1A1,0.13106234282015436,0.13614211731089595,0.4737362832764198,0.05429042887065824,0.2730353330403366,0.3878523527630432,0.266654962773224,ALDH1A1,ENSG00000165092,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,216,P00352,ALDH1A1,0.3275087827057836,ALDH1A1,ENSG00000165092,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
217,P05091,ALDH2,0.20171567218125916,0.10297819977468749,0.609896638444792,0.2440295890300217,0.31441253626762883,0.17149242725290118,0.33709969636168324,ALDH2,ENSG00000111275,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,217,P05091,ALDH2,0.24621946594611446,ALDH2,ENSG00000111275,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
