ENTREZID,Uniprot.ID,Gene.name,thyroid,SYMBOL,ENSEMBL,name,version,wpid,org,ENTREZID.1,Uniprot.ID.1,Gene.name.1,thyroid.1,SYMBOL.1,ENSEMBL.1,name.1,version.1,wpid.1
124,P07327,ADH1A,NA,ADH1A,ENSG00000187758,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,124,P07327,ADH1A,NA,ADH1A,ENSG00000187758,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
125,P00325,ADH1B,0.35878482551785873,ADH1B,ENSG00000196616,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,125,P00325,ADH1B,0.24503533968911748,ADH1B,ENSG00000196616,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
126,P00326,ADH1C,0.40719963680415583,ADH1C,ENSG00000248144,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,126,P00326,ADH1C,0.31770525236841746,ADH1C,ENSG00000248144,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
127,P08319,ADH4,0.3672689291560609,ADH4,ENSG00000198099,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,127,P08319,ADH4,0.23826361428718568,ADH4,ENSG00000198099,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
130,P28332,ADH6,NA,ADH6,ENSG00000172955,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,130,P28332,ADH6,NA,ADH6,ENSG00000172955,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
131,P40394,ADH7,NA,ADH7,ENSG00000196344,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,131,P40394,ADH7,NA,ADH7,ENSG00000196344,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1543,P04798,CYP1A1,NA,CYP1A1,ENSG00000140465,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1543,P04798,CYP1A1,NA,CYP1A1,ENSG00000140465,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1544,P05177,CYP1A2,NA,CYP1A2,ENSG00000140505,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1544,P05177,CYP1A2,NA,CYP1A2,ENSG00000140505,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1548,P11509,CYP2A6,NA,CYP2A6,ENSG00000255974,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1548,P11509,CYP2A6,NA,CYP2A6,ENSG00000255974,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1565,P10635,CYP2D6,NA,CYP2D6,ENSG00000100197,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1565,P10635,CYP2D6,NA,CYP2D6,ENSG00000100197,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1571,P05181,CYP2E1,NA,CYP2E1,ENSG00000130649,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1571,P05181,CYP2E1,NA,CYP2E1,ENSG00000130649,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1576,P08684,CYP3A4,NA,CYP3A4,ENSG00000160868,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1576,P08684,CYP3A4,NA,CYP3A4,ENSG00000160868,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
1579,Q02928,CYP4A11,NA,CYP4A11,ENSG00000187048,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,1579,Q02928,CYP4A11,NA,CYP4A11,ENSG00000187048,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
216,P00352,ALDH1A1,0.266654962773224,ALDH1A1,ENSG00000165092,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,216,P00352,ALDH1A1,0.3275087827057836,ALDH1A1,ENSG00000165092,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
217,P05091,ALDH2,0.33709969636168324,ALDH2,ENSG00000111275,Fatty acid omega-oxidation,WikiPathways_20210910,WP206,Homo sapiens,217,P05091,ALDH2,0.24621946594611446,ALDH2,ENSG00000111275,Fatty acid omega-oxidation,WikiPathways_20210910,WP206
