wpid,database,plung,pspleen,pliver,pheart,pkidney,ptesti,pthyroid
WP694,wikipathways,NA,NA,-0.106680286536611,NA,NA,NA,NA
MINERVA Coagulation pathway,DiseaseMap,NA,NA,NA,NA,NA,-0.117542938735535,NA
WP4586,wikipathways,NA,NA,0.144669811994299,NA,NA,NA,NA
WP4873,wikipathways,NA,-0.14262845426196,NA,NA,NA,NA,NA
WP1742,wikipathways,NA,-0.114072215023837,NA,NA,NA,NA,NA
WP4523,wikipathways,NA,NA,NA,NA,NA,-0.225803598384699,NA
WP4524,wikipathways,NA,NA,NA,NA,NA,-0.114191582272407,NA
WP2874,wikipathways,0.135774014909508,NA,NA,NA,NA,NA,NA
WP554,wikipathways,NA,NA,NA,NA,NA,-0.161556165600857,NA
WP3413,wikipathways,NA,0.106084426829744,NA,NA,NA,NA,NA
WP558,wikipathways,NA,NA,NA,NA,NA,-0.114974989701744,NA
WP430,wikipathways,NA,NA,NA,NA,NA,NA,-0.151031633837014
WP3601,wikipathways,-0.141995764558839,NA,NA,NA,-0.118579828096177,NA,-0.241035186850748
WP5110,wikipathways,NA,NA,NA,-0.132213412685864,NA,-0.102470989828921,NA
WP5109,wikipathways,NA,NA,NA,NA,NA,-0.102470989828921,-0.162639132068612
WP4522,wikipathways,NA,NA,NA,NA,NA,-0.104597453163517,-0.12074448988909
WP5066,wikipathways,NA,NA,-0.113186082624515,NA,NA,NA,NA
WP4518,wikipathways,NA,-0.104694946771028,-0.107766396606559,NA,NA,NA,NA
WP383,wikipathways,NA,0.19610320265783,NA,NA,NA,NA,0.130749874785186
WP1604,wikipathways,NA,NA,NA,NA,0.114718075786072,NA,NA
WP197,wikipathways,NA,NA,NA,NA,NA,-0.116571351929617,NA
WP136,wikipathways,NA,NA,NA,NA,NA,-0.109668237147873,NA
WP4804,wikipathways,NA,NA,NA,NA,NA,-0.101546212771886,NA
WP545,wikipathways,NA,NA,NA,NA,NA,-0.111115552151529,NA
WP4153,wikipathways,0.140440370818431,NA,NA,NA,NA,NA,NA
WP2276,wikipathways,NA,NA,NA,0.120905361228651,NA,NA,NA
WP1531,wikipathways,NA,-0.188483468355395,NA,NA,NA,-0.141107336860147,NA
WP206,wikipathways,NA,NA,-0.11306654005530101,NA,NA,NA,0.112565359571744
WP2485,wikipathways,NA,NA,-0.105844043452525,NA,NA,NA,NA
WP678,wikipathways,NA,NA,-0.136348627427585,NA,NA,NA,NA
WP5089,wikipathways,-0.201549905073579,-0.11554118328178101,NA,NA,NA,-0.135630826560735,-0.186888088562742
WP496,wikipathways,NA,0.131685186635988,NA,NA,NA,-0.256903023518504,NA
MINERVA Virus replication cycle,DiseaseMap,NA,NA,NA,NA,NA,NA,0.125389942513152
WP4846,wikipathways,NA,NA,NA,NA,NA,NA,0.125389942513152
WP691,wikipathways,NA,NA,-0.151106253698535,NA,NA,NA,NA
WP699,wikipathways,NA,NA,-0.116388798219687,NA,NA,NA,NA
WP4720,wikipathways,NA,NA,-0.113223667758174,NA,NA,NA,NA
WP3891,wikipathways,0.146596286335277,NA,NA,NA,NA,NA,NA
WP4271,wikipathways,NA,-0.125227467619949,NA,NA,NA,NA,NA
WP2291,wikipathways,NA,-0.110132800055089,NA,NA,NA,NA,NA
WP4927,wikipathways,0.143687147811772,NA,NA,NA,NA,NA,-0.232860914388214
WP272,wikipathways,NA,NA,NA,NA,NA,NA,-0.142387068445277
WP690,wikipathways,NA,NA,-0.198417752810016,NA,NA,NA,NA
WP4462,wikipathways,0.131793583254049,NA,NA,NA,NA,NA,NA
