pathway,p_value,effec_size,magnitude,difference,name
WP5089,8.367391466198897e-13,0.43957939089561093,2,-0.534933251063922,Kinin-Kallikrein pathway
WP4153,3.904853653061727e-15,0.4079904044373899,2,-0.420970199357908,"Degradation pathway of sphingolipids, including diseases"
WP4815,1.6724779701928534e-17,0.3487794480088018,2,-0.33404123713015954,Glycosaminoglycan degradation
WP5027,1.1451044149964413e-21,0.32839610325119956,2,0.13101083929134538,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell
WP3601,2.1918899675931663e-8,0.3013158652266595,2,-0.3009686341901394,Lipid particles composition
WP477,6.388898967108435e-66,0.2617338738797699,1,0.12100184879499892,Cytoplasmic ribosomal proteins
WP3926,9.916462195539953e-6,0.2478401450653514,1,0.12892410767166673,ApoE and miR-146 in inflammation and atherosclerosis
WP4146,7.280419453964493e-5,0.24373794172133761,1,0.2260318170500129,Macrophage markers
WP4788,7.444508071176268e-7,0.2333344734941627,1,0.13895916579998757,Autosomal recessive osteopetrosis pathways
WP107,9.980895468501319e-29,0.22343903895549894,1,0.10303375293238942,Translation factors
WP4462,1.5305036205238615e-4,0.2219857917322676,1,0.1680049610254678,Platelet-mediated interactions with vascular and circulating cells
WP5104,4.392661058079125e-6,0.21624107101793572,1,-0.1999720249903154,Acquired partial lipodystrophy / Barraquer-Simons syndrome
WP3617,1.1886612869460641e-9,0.21396130490252083,1,0.16604248050599665,Photodynamic therapy-induced NF-kB survival signaling
WP4784,1.947213816254248e-7,0.21318690644080762,1,0.14800055865194464,Proteoglycan biosynthesis
WP4804,3.8545546659127743e-4,0.20813830952248122,1,0.1349534676218892,Cholesterol biosynthesis with skeletal dysplasias
WP288,2.9104543198220336e-5,0.20303639100365165,1,0.11201202554350062,Nod-like receptor (NLR) signaling pathway
WP5120,1.0209968161284964e-4,0.19805019368391025,1,0.14900492756295572,Inclusion body myositis
WP3876,0.0010155364117467695,0.1882052976839942,1,-0.1360137702817899,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation
WP2485,4.805875469983863e-4,0.1812880279143399,1,-0.23797403299621428,"NAD biosynthesis II (from tryptophan)"
WP4936,3.9763912636226515e-7,0.17982307745468856,1,0.09894001419236192,"Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins"
WP4790,3.233588529765284e-5,0.1702612751211087,1,0.1860051181965809,FGF23 signaling in hypophosphatemic rickets and related disorders
WP4329,1.6876252939820646e-9,0.1698141857427731,1,0.10600491474183057,miRNAs involvement in the immune response in sepsis
WP2916,7.78216821261902e-5,0.16972273652542633,1,0.08705665511444313,Interactome of polycomb repressive complex 2 (PRC2) 
WP2113,0.0025477782211187463,0.16925481195624842,1,0.1039807113378646,Type III interferon signaling
WP4830,0.0016979357152086402,0.16924900783303393,1,-0.18905676494471196,GDNF/RET signaling axis
WP4518,0.002812436606059132,0.1675679036417814,1,-0.263614860476282,"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases"
WP3,1.9942978986700856e-05,0.1674452030774298,1,0.166046991641244,Transcriptional activation by NRF2 in response to phytochemicals
WP2805,0.005381925170028017,0.1669742627758788,1,0.08999551085049276,exRNA mechanism of action and biogenesis
WP5021,1.0460647341724907e-18,0.16663529177960584,1,0.10305776174269646,SARS-CoV-2 Infection
MINERVA Coagulation pathway,2.2159674955260622e-40,0.16631680672613086,1,-0.20702962678970444,MINERVA Coagulation pathway
WP4210,2.7777590944369097e-5,0.16619131919073252,1,-0.22106603330590224,Tryptophan catabolism leading to NAD+ production
WP47,0.007030814564546988,0.16562753183626133,1,0.1410459600121355,Hedgehog signaling pathway Netpath
WP4922,1.1876000214369035e-10,0.1643446621171315,1,0.1700335129715713,Mitochondrial complex IV assembly
WP2112,1.7126145530916522e-7,0.1636214255065182,1,0.08396551270143293,IL-17 signaling pathway
WP4357,3.9156466663195543e-7,0.15884568810417607,1,0.1240673167135638,NRF2-ARE regulation
WP2290,1.5474409409771864e-4,0.15670013172191513,1,0.08702960426668241,RalA downstream regulated genes
WP5109,2.5468187085569093e-4,0.15498511844056667,1,-0.14602834699459058,Familial hyperlipidemia type 2
WP2895,0.006014560365663643,0.1540789479365498,1,0.17499315000837762,Differentiation of white and brown adipocyte
WP4921,9.727969764775642e-5,0.15299013128845787,1,0.12801032914516286,Mitochondrial complex III assembly
WP4947,8.647900656781811e-4,0.1527002108949769,1,-0.12696623785168654,Nitric oxide metabolism in cystic fibrosis
WP3529,1.950001163350115e-4,0.15097084513618786,1,0.15001452319528535,Zinc homeostasis
WP3613,1.6080261885647467e-5,0.15054214384299097,1,0.10103461582049224,Photodynamic therapy-induced unfolded protein response
WP111,1.5288833145557427e-23,0.1503415873992832,1,0.158972255449826,Electron transport chain: OXPHOS system in mitochondria
WP4723,0.005287517867355763,0.1476364497752056,1,0.11403987380095898,Omega-3 / omega-6 fatty acid synthesis
WP558,2.1640580937474374e-13,0.1455194176888599,1,-0.17100312834369819,Complement and coagulation cascades
WP5044,5.531406786142986e-4,0.14479391460355875,1,-0.17405871009412316,Kynurenine pathway and links to cell senescence
WP3580,4.503679578985957e-6,0.14454185379201745,1,-0.18200394904616984,Methionine de novo and salvage pathway
WP4873,0.03793657153217368,0.1426288045863872,1,-0.14791727493480938,Peroxiredoxin 2 induced ovarian failure
WP4480,0.007604957580602495,0.13860017126871296,1,0.08000263264599634,Altered glycosylation of MUC1 in tumor microenvironment
WP4920,0.010454148138612961,0.13828099354588033,1,0.17006102865156858,Mitochondrial complex II assembly
WP545,6.946545405592211e-6,0.13723682324205425,1,-0.14296734684747062,Complement activation
WP623,1.240298324486035e-12,0.13590266650455948,1,0.1330259197743662,Oxidative phosphorylation
WP516,0.006374233358207316,0.13474196688945944,1,0.11404438361377953,Hypertrophy model
WP5020,1.3526077433774504e-9,0.13376855777688523,1,0.08494156638266256,SARS-CoV-1 Infection
WP4222,1.562939323133431e-5,0.1335006898312134,1,-0.13005005078176324,Phosphodiesterases in neuronal function
WP1455,0.013997856031374958,0.1325201166417708,1,0.14599236077453814,Serotonin transporter activity
WP4844,3.2500387492535147e-05,0.1284191238672663,1,0.09397720316400206,Influence of laminopathies on Wnt signaling
WP170,0.0035386844124812742,0.12828549128201344,1,-0.14295594228250413,Nuclear receptors
WP4224,3.1886274134600944e-5,0.127763050017451,1,-0.11995643723577996,Purine metabolism and related disorders
WP5110,0.0054568936647043185,0.12724598255447325,1,-0.11197356489137181,Familial hyperlipidemia type 3
WP4558,0.0027585576166071295,0.12684760133485976,1,0.08298800645905326,Overview of interferons-mediated signaling pathway
WP411,2.4101103016767065e-22,0.12374978892371939,1,0.06604328657537706,mRNA processing
WP4206,7.31557220582726e-4,0.12078401292080797,1,0.09301454161893556,Hereditary leiomyomatosis and renal cell carcinoma pathway
WP4157,0.03165392174162908,0.12053178979421916,1,-0.15094331953810602,GABA metabolism (aka GHB)
WP3658,0.005708432023551683,0.12019008692292922,1,0.07792315989418272,Wnt/beta-catenin signaling pathway in leukemia
WP4142,0.009880913601894326,0.11978882728641417,1,0.09198083637146626,Metabolism of spingolipids in ER and Golgi apparatus
WP561,0.013870132709759347,0.11951781680326345,1,-0.10599576270222591,Heme biosynthesis
WP4792,0.0026739277883370506,0.11908289383080795,1,-0.10500098350869491,Purine metabolism
WP4324,1.1137170044077035e-9,0.11890802887388219,1,0.11404054681917934,Mitochondrial complex I assembly model OXPHOS system
WP2374,1.0820661797093832e-9,0.1184130640625005,1,0.07495961715555974,Oncostatin M signaling pathway
WP134,0.02330804375871424,0.11779293216335514,1,-0.10296058065993498,Pentose phosphate metabolism
WP4521,8.118358352136329e-4,0.11774051043662323,1,0.0630207500052974,Glycosylation and related congenital defects
WP4856,9.875327983064774e-5,0.11537290594063561,1,0.08195068584830997,Intracellular trafficking proteins involved in CMT neuropathy
WP5094,1.6406198968123706e-9,0.11346957833815101,1,0.11391865059407033,Orexin receptor pathway
WP2864,2.3066226356808524e-6,0.11252157354631687,1,0.08202405855375895,Apoptosis-related network due to altered Notch3 in ovarian cancer
WP5112,0.017267067490345626,0.11213330324070127,1,-0.08707571280936634,Familial hyperlipidemia type 5
WP4724,0.029104301031754074,0.11181563271304211,1,0.10801147300458672,Omega-9 fatty acid synthesis
WP4879,1.775194768885432e-6,0.1113762802814776,1,0.08797986808509028,Overlap between signal transduction pathways contributing to LMNA laminopathies
WP4301,6.273706101595166e-4,0.11071426433193374,1,0.058931722918702065,Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells
WP2865,0.002607236312239183,0.1105295198391928,1,0.09904717697684483,IL1 and megakaryocytes in obesity
WP438,0.038804916817632554,0.10938577638351325,1,0.052042413486766,Non-homologous end joining
MINERVA Electron Transport Chain disruption,2.4701026991030583e-28,0.10904888865402987,1,0.10803004552228622,MINERVA Electron Transport Chain disruption
WP272,9.911700532144604e-4,0.10886824287480398,1,-0.14007204505751936,Blood clotting cascade
