pathway,p_value,effec_size,magnitude,difference,name
WP5089,2.2583473840002487e-10,0.48805938375780816,2,-1.04374416205312,Kinin-Kallikrein pathway
WP477,3.779445699265631e-96,0.3878415027817383,2,0.3209755715931874,Cytoplasmic ribosomal proteins
WP5027,2.214955332987981e-14,0.3182427873387383,2,0.25894454429314256,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell
WP5104,1.6600671939268356e-6,0.28236442999946715,1,-0.4320007121186393,Acquired partial lipodystrophy / Barraquer-Simons syndrome
WP4493,5.267085373887195e-8,0.2735029074930228,1,-0.4509932886613486,Cells and molecules involved in local acute inflammatory response 
WP3601,6.601519487486499e-6,0.2655832259891583,1,-0.5949959315334792,Lipid particles composition
WP4236,3.7553967422579834e-5,0.25973685702243127,1,0.104953335057311,Krebs cycle disorders
WP3613,1.788667261377497e-8,0.2594972346930569,1,0.3235249590217029,Photodynamic therapy-induced unfolded protein response
WP3958,6.055958967730362e-6,0.2502452258632784,1,-0.29300088421692955,GPR40 pathway
WP545,1.1874951195815007e-10,0.24415215740138327,1,-0.42594505302609775,Complement activation
WP2583,7.804004994673071e-10,0.23703146115040152,1,-0.28798890274315847,T cell receptor and co-stimulatory signaling
WP4760,8.975693785834648e-6,0.23119610483873163,1,-0.35500187334822564,PKC-gamma calcium signaling pathway in ataxia
MINERVA Coagulation pathway,1.3827109167204436e-49,0.23116985011744695,1,-0.5020065406120997,MINERVA Coagulation pathway
WP4904,0.0038113761647794076,0.2311013209310548,1,-0.23094465627618044,LDLRAD4 and what we know about it
WP4922,6.415835102621583e-10,0.22476747234497077,1,0.21899924866208925,Mitochondrial complex IV assembly
WP4804,0.0036238844431260124,0.22394502652627396,1,0.22301001728501627,Cholesterol biosynthesis with skeletal dysplasias
WP4823,1.9153104305633375e-7,0.2236917983898809,1,-0.33499922031444657,Genes controlling nephrogenesis
WP4788,1.4778175523782469e-4,0.22327680040434272,1,0.21003486609480174,Autosomal recessive osteopetrosis pathways
WP4317,0.005017063537939928,0.22270987816424753,1,0.16697675878827128,Mitochondrial fatty acid synthesis pathway
WP1941,0.009770916446096822,0.21554275592494643,1,0.09392427607119216,Peroxisomal beta-oxidation of tetracosanoyl-CoA
WP4921,5.210897231044673e-6,0.21552003544877052,1,0.17068012724169504,Mitochondrial complex III assembly
WP734,2.0031045929119915e-5,0.21379148483197938,1,-0.2119835023398498,Serotonin receptor 4/6/7 and NR3C signaling
WP107,6.444163204730914e-17,0.20814275242024777,1,0.1910105382723993,Translation factors
WP4521,4.166520877286412e-6,0.20464203052699603,1,0.22096693995378375,Glycosylation and related congenital defects
WP558,2.5786741835828496e-16,0.2016639164774606,1,-0.41601212007250277,Complement and coagulation cascades
WP411,3.3647966546365983e-38,0.2012017687058297,1,0.17305321749986433,mRNA processing
WP4786,3.7929324143515106e-7,0.19907534390873866,1,0.31798418567721154,Type I collagen synthesis in the context of osteogenesis imperfecta
WP5101,1.866804300252739e-4,0.19890574013462647,1,-0.28200369316283946,Congenital generalized lipodystrophy (CGL)
WP368,1.3098178597973772e-6,0.19558740267617722,1,0.11795288828645469,Mitochondrial long chain fatty acid beta-oxidation
WP554,5.543044131246227e-4,0.19217677347054243,1,-0.42604275143060033,ACE inhibitor pathway
WP313,5.926554213806864e-10,0.1915616222188805,1,-0.1849710070452651,Hepatocyte growth factor receptor signaling
WP26,1.062561871966464e-5,0.19095547868666168,1,-0.26104657979214413,S1P receptor signal transduction
WP78,2.4953322990622608e-6,0.19034266412447712,1,0.1100404171454073,TCA cycle (aka Krebs or citric acid cycle)
WP4688,0.007102772399663171,0.1876693023625051,1,0.10775251298890215,Serine metabolism
WP4969,2.9307647029750108e-6,0.18644073035251743,1,-0.39903779581221427,RAS and bradykinin pathways in COVID-19
WP3927,0.0023539675363326512,0.1851650587470035,1,-0.20794086637567916,BMP signaling in eyelid development
WP2911,4.5530171981581856e-7,0.18202659780570005,1,-0.4339583770596474,miRNA targets in ECM and membrane receptors
WP186,0.005353752206607329,0.1791022248283645,1,-0.12195165682624275,Homologous recombination
WP2011,9.847443138741255e-4,0.17872863436730474,1,0.2100476075579138,SREBF and miR33 in cholesterol and lipid homeostasis
WP3876,0.020152067412074686,0.17681177760678085,1,-0.25895183330374816,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation
