"name","selected","shared name"
"P11245","false","P11245"
"WP694","false","WP694"
"Q9UGN5","false","Q9UGN5"
"WP4873","false","WP4873"
"O75787","false","O75787"
"WP554","false","WP554"
"O15439","false","O15439"
"WP5066","false","WP5066"
"P42771","false","P42771"
"WP1742","false","WP1742"
"P24844","false","P24844"
"WP383","false","WP383"
"Q9Y6L6","false","Q9Y6L6"
"WP1604","false","WP1604"
"Q15126","false","Q15126"
"WP197","false","WP197"
"P23141","false","P23141"
"WP136","false","WP136"
"Q15125","false","Q15125"
"WP4804","false","WP4804"
"P11597","false","P11597"
"WP3601","false","WP3601"
"WP4522","false","WP4522"
"WP430","false","WP430"
"WP5109","false","WP5109"
"WP5110","false","WP5110"
"O00187","false","O00187"
"MINERVA Coagulation pathway","false","MINERVA Coagulation pathway"
"WP545","false","WP545"
"WP558","false","WP558"
"Q9UQ49","false","Q9UQ49"
"WP4153","false","WP4153"
"Q9Y2P5","false","Q9Y2P5"
"O94811","false","O94811"
"WP2276","false","WP2276"
"P17516","false","P17516"
"WP4524","false","WP4524"
"Q6Q788","false","Q6Q788"
"P10909","false","P10909"
"Q00610","false","Q00610"
"P23946","false","P23946"
"P07327","false","P07327"
"WP206","false","WP206"
"Q92887","false","Q92887"
"P00325","false","P00325"
"Q63HM1","false","Q63HM1"
"WP2485","false","WP2485"
"P00326","false","P00326"
"P09543","false","P09543"
"P08319","false","P08319"
"P28332","false","P28332"
"P40394","false","P40394"
"Q96IY4","false","Q96IY4"
"P15169","false","P15169"
"WP5089","false","WP5089"
"WP496","false","WP496"
"P17927","false","P17927"
"P20023","false","P20023"
"P02741","false","P02741"
"P07858","false","P07858"
"MINERVA Virus replication cycle","false","MINERVA Virus replication cycle"
"P08311","false","P08311"
"P07711","false","P07711"
"WP4846","false","WP4846"
"P00167","false","P00167"
"WP4523","false","WP4523"
"P04798","false","P04798"
"WP691","false","WP691"
"P05177","false","P05177"
"WP699","false","WP699"
"Q16678","false","Q16678"
"P11509","false","P11509"
"Q16696","false","Q16696"
"P20813","false","P20813"
"WP2874","false","WP2874"
"P33261","false","P33261"
"P10632","false","P10632"
"WP4720","false","WP4720"
"WP678","false","WP678"
"P11712","false","P11712"
"P33260","false","P33260"
"P10635","false","P10635"
"P05181","false","P05181"
"WP3891","false","WP3891"
"P51589","false","P51589"
"P08684","false","P08684"
"P20815","false","P20815"
"Q02928","false","Q02928"
"P05108","false","P05108"
"P05093","false","P05093"
"P08686","false","P08686"
"Q07973","false","Q07973"
"WP1531","false","WP1531"
"Q02318","false","Q02318"
"O15528","false","O15528"
"Q16850","false","Q16850"
"P08174","false","P08174"
"P12821","false","P12821"
"P52895","false","P52895"
"Q8IVH4","false","Q8IVH4"
"WP4271","false","WP4271"
"P17661","false","P17661"
"P00746","false","P00746"
"Q9UBM7","false","Q9UBM7"
"Q15392","false","Q15392"
"P15559","false","P15559"
"P11532","false","P11532"
"P16444","false","P16444"
"WP4518","false","WP4518"
"P78504","false","P78504"
"WP3413","false","WP3413"
"P01019","false","P01019"
"O95477","false","O95477"
"Q92633","false","Q92633"
"Q70J99","false","Q70J99"
"WP2291","false","WP2291"
"P07099","false","P07099"
"P34913","false","P34913"
"P10768","false","P10768"
"P00734","false","P00734"
"WP4927","false","WP4927"
"WP272","false","WP272"
"P12259","false","P12259"
"P08709","false","P08709"
"P00451","false","P00451"
"P00740","false","P00740"
"P00742","false","P00742"
"P00352","false","P00352"
"P03951","false","P03951"
"P00748","false","P00748"
"P00488","false","P00488"
"P05160","false","P05160"
"P05091","false","P05091"
"P49327","false","P49327"
"P37268","false","P37268"
"P14324","false","P14324"
"P02671","false","P02671"
"P02675","false","P02675"
"P22607","false","P22607"
"P02679","false","P02679"
"P05062","false","P05062"
"WP690","false","WP690"
"O95154","false","O95154"
"Q12778","false","Q12778"
"Q8NEV8","false","Q8NEV8"
"P15121","false","P15121"
"Q01740","false","Q01740"
"P31513","false","P31513"
"Q15274","false","Q15274"
"P46952","false","P46952"
"P18054","false","P18054"
"WP4586","false","WP4586"
"P09917","false","P09917"
"P16050","false","P16050"
"P05186","false","P05186"
"P00519","false","P00519"
"Q8NBP7","false","Q8NBP7"
"Q8NFW9","false","Q8NFW9"
"P17677","false","P17677"
"Q5SW96","false","Q5SW96"
"P02774","false","P02774"
"P19440","false","P19440"
"O14841","false","O14841"
"P36382","false","P36382"
"P06280","false","P06280"
"P16278","false","P16278"
"P48506","false","P48506"
"Q9UQ10","false","Q9UQ10"
"P17900","false","P17900"
"Q5TCH4","false","Q5TCH4"
"P48637","false","P48637"
"P08263","false","P08263"
"P09210","false","P09210"
"P09488","false","P09488"
"P28161","false","P28161"
"P09211","false","P09211"
"P07355","false","P07355"
"P05546","false","P05546"
"P06865","false","P06865"
"P07686","false","P07686"
"P08603","false","P08603"
"Q13085","false","Q13085"
"P04035","false","P04035"
"Q01581","false","Q01581"
"P55317","false","P55317"
"Q96EY8","false","Q96EY8"
"P26439","false","P26439"
"P28845","false","P28845"
"P80365","false","P80365"
"P37058","false","P37058"
"P37059","false","P37059"
"P51659","false","P51659"
"P02647","false","P02647"
"P02652","false","P02652"
"P04114","false","P04114"
"P05362","false","P05362"
"WP4462","false","WP4462"
"Q695T7","false","Q695T7"
"P02654","false","P02654"
"Q13907","false","Q13907"
"P05156","false","P05156"
"P02655","false","P02655"
"P02656","false","P02656"
"P02649","false","P02649"
"P01584","false","P01584"
"P35568","false","P35568"
"P56199","false","P56199"
"P17301","false","P17301"
"P05556","false","P05556"
"P50053","false","P50053"
"P24752","false","P24752"
"P06870","false","P06870"
"P03952","false","P03952"
"P01042","false","P01042"
"Q14739","false","Q14739"
"P04180","false","P04180"
"P01130","false","P01130"
"P38571","false","P38571"
"P11150","false","P11150"
"O60427","false","O60427"
"P49257","false","P49257"
"P06858","false","P06858"
"Q07954","false","Q07954"
"P48449","false","P48449"
"P20916","false","P20916"
"P15289","false","P15289"
"P02686","false","P02686"
"P15529","false","P15529"
"P08493","false","P08493"
"P08235","false","P08235"
"P05164","false","P05164"
"P26038","false","P26038"
"P55157","false","P55157"
"Q99707","false","Q99707"
"Q9UBK8","false","Q9UBK8"
"P22033","false","P22033"
"P53602","false","P53602"
"Q03426","false","Q03426"
"Q00872","false","Q00872"
"Q14324","false","Q14324"
"Q14896","false","Q14896"
"P01008","false","P01008"
"P11055","false","P11055"
"P13533","false","P13533"
"P13535","false","P13535"
"P05976","false","P05976"
"P10916","false","P10916"
"P08590","false","P08590"
"P12829","false","P12829"
"P20929","false","P20929"
"Q13315","false","Q13315"
"Q99519","false","Q99519"
"P29474","false","P29474"
"P46531","false","P46531"
"P09958","false","P09958"
"P05121","false","P05121"
"P05120","false","P05120"
"Q15738","false","Q15738"
"P05154","false","P05154"
"Q9NP71","false","Q9NP71"
"Q9HCN6","false","Q9HCN6"
"P56937","false","P56937"
"P02776","false","P02776"
"P27918","false","P27918"
"P08183","false","P08183"
"P01009","false","P01009"
"P00750","false","P00750"
"P00749","false","P00749"
"Q03405","false","Q03405"
"P00747","false","P00747"
"P08697","false","P08697"
"P60201","false","P60201"
"P55058","false","P55058"
"P27169","false","P27169"
"Q15165","false","Q15165"
"Q15166","false","Q15166"
"P16435","false","P16435"
"P19224","false","P19224"
"O60656","false","O60656"
"P22310","false","P22310"
"P22309","false","P22309"
"P35503","false","P35503"
"Q9HCH5","false","Q9HCH5"
"Q6IA69","false","Q6IA69"
"P35712","false","P35712"
"P53779","false","P53779"
"P04070","false","P04070"
"P07225","false","P07225"
"P48740","false","P48740"
"P35354","false","P35354"
"P68133","false","P68133"
"Q07812","false","Q07812"
"P51159","false","P51159"
"O00194","false","O00194"
"P62736","false","P62736"
"Q9BYF1","false","Q9BYF1"
"P10415","false","P10415"
"P00797","false","P00797"
"P19793","false","P19793"
"P28702","false","P28702"
"P00751","false","P00751"
"Q15800","false","Q15800"
"O75845","false","O75845"
"O00767","false","O00767"
"P13501","false","P13501"
"P55957","false","P55957"
"P16109","false","P16109"
"Q14242","false","Q14242"
"Q9H221","false","Q9H221"
"Q9HAN9","false","Q9HAN9"
"Q9HCS2","false","Q9HCS2"
"P35610","false","P35610"
"Q00796","false","Q00796"
"Q9UMX3","false","Q9UMX3"
"Q14534","false","Q14534"
"P36956","false","P36956"
"P49675","false","P49675"
"P49888","false","P49888"
"P50226","false","P50226"
"P50225","false","P50225"
"Q06520","false","Q06520"
"P20061","false","P20061"
"P20062","false","P20062"
"P48775","false","P48775"
"P68032","false","P68032"
"P32119","false","P32119"
"P10646","false","P10646"
"P01137","false","P01137"
"P61812","false","P61812"
"P07204","false","P07204"
"O60603","false","O60603"
"P05155","false","P05155"
"P28289","false","P28289"
"P02745","false","P02745"
"P02585","false","P02585"
"P02746","false","P02746"
"P63316","false","P63316"
"P19237","false","P19237"
"P48788","false","P48788"
"P19429","false","P19429"
"P13805","false","P13805"
"P45379","false","P45379"
"P02747","false","P02747"
"P45378","false","P45378"
"P00736","false","P00736"
"P09871","false","P09871"
"P09493","false","P09493"
"P07951","false","P07951"
"P06681","false","P06681"
"P06753","false","P06753"
"P67936","false","P67936"
"P01024","false","P01024"
"P0C0L4","false","P0C0L4"
"P0C0L5","false","P0C0L5"
"P01031","false","P01031"
"Q8WZ42","false","Q8WZ42"
"P21730","false","P21730"
"P13671","false","P13671"
"P10643","false","P10643"
"P07357","false","P07357"
"P07358","false","P07358"
"P07360","false","P07360"
"P63165","false","P63165"
"P02748","false","P02748"
"P06133","false","P06133"
"P16662","false","P16662"
"P54855","false","P54855"
"P22415","false","P22415"
"P19320","false","P19320"
"P11473","false","P11473"
"P15692","false","P15692"
"P08670","false","P08670"
"P98155","false","P98155"
"P04275","false","P04275"
"O75223","false","O75223"
"Q9BV36","false","Q9BV36"
"O60494","false","O60494"
"O43707","false","O43707"
"O43852","false","O43852"
"Q9BXJ7","false","Q9BXJ7"
"P23610","false","P23610"
"P42574","false","P42574"
"Q9BXI6","false","Q9BXI6"
"Q9NUB1","false","Q9NUB1"
"Q8IYJ3","false","Q8IYJ3"
"P78329","false","P78329"
"O15273","false","O15273"
"O15229","false","O15229"
"Q8WXG6","false","Q8WXG6"
"O43488","false","O43488"
"O14756","false","O14756"
"Q9Y4H2","false","Q9Y4H2"
"O75907","false","O75907"
"P50454","false","P50454"
"O15438","false","O15438"
"P52179","false","P52179"
"P50591","false","P50591"
"P35609","false","P35609"
"O00748","false","O00748"
"O14786","false","O14786"
"Q08043","false","Q08043"
"Q16719","false","Q16719"
"P20674","false","P20674"
"Q9Y5X9","false","Q9Y5X9"
"Q96C24","false","Q96C24"
"O95864","false","O95864"
"Q8WTV0","false","Q8WTV0"
"O95479","false","O95479"
"Q8IWJ2","false","Q8IWJ2"
