pathway,p_value,effec_size,magnitude,difference,name
WP5089,3.4867702268263716e-17,0.6883771728477851,3,-0.7620036712502809,Kinin-Kallikrein pathway
WP3601,2.705359276645928e-17,0.6058259757339429,3,-0.8112237617413998,Lipid particles composition
WP4804,3.317103893095641e-11,0.6056335489754701,3,0.44603154676817486,Cholesterol biosynthesis with skeletal dysplasias
WP4723,2.7397134667963245e-10,0.5155941874863297,3,0.38394463627364694,Omega-3 / omega-6 fatty acid synthesis
WP2881,7.134289453358321e-8,0.4920721323017064,2,0.40200916145903165,Estrogen receptor pathway
WP5109,5.472523757516739e-13,0.4809361326777967,2,-0.5929746113059462,Familial hyperlipidemia type 2
WP4927,2.2571752310978808e-10,0.47286637858213265,2,-0.5714792386789479,"COVID-19, thrombosis and anticoagulation"
MINERVA Virus replication cycle,1.3097789830795115e-13,0.4637832278685334,2,0.35398337210520503,MINERVA Virus replication cycle
WP5065,2.755109084638122e-6,0.45784201142813996,2,0.4032983916058207,SARS-CoV-2 altering angiogenesis via NRP1
WP1941,7.851592954533275e-7,0.4511083989494529,2,0.28896667401847864,Peroxisomal beta-oxidation of tetracosanoyl-CoA
WP4522,2.837315933595017e-12,0.45097566987861726,2,-0.5279430669706328,"Metabolic pathway of LDL, HDL and TG, including diseases"
WP4480,2.0173658118390502e-8,0.43690411222982267,2,0.2369720726274101,Altered glycosylation of MUC1 in tumor microenvironment
WP4815,6.862944050238874e-15,0.4286909404552347,2,0.3619271141742134,Glycosaminoglycan degradation
WP5027,1.4311964469018957e-20,0.42440846331598214,2,0.22095817100438822,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell
WP272,1.8080735275349508e-16,0.40918027212055336,2,-0.5030305070032848,Blood clotting cascade
WP4562,2.411030865618383e-6,0.4060360801154768,2,0.18198167813531885,Canonical NF-kB pathway
WP430,1.4478327763771374e-14,0.40543391654456606,2,-0.47403572777731917,Statin inhibition of cholesterol production
MINERVA Coagulation pathway,4.921858596456371e-104,0.40466070638278034,2,-0.4289375676291792,MINERVA Coagulation pathway
WP4240,1.9494572894556156e-7,0.387996857473171,2,0.15896999223633795,Regulation of sister chromatid separation at the metaphase-anaphase transition
WP1422,1.1465922006465701e-11,0.38242691941985246,2,0.25501062385560547,Sphingolipid pathway
WP4479,2.8592022314699047e-8,0.37005805555270344,2,0.20900576220548087,Supression of HMGB1 mediated inflammation by THBD
WP4788,1.2480738159799538e-7,0.3648685068227395,2,0.19899091371300257,Autosomal recessive osteopetrosis pathways
WP4146,8.132810313772386e-6,0.36444626813105335,2,0.33597563395747826,Macrophage markers
WP4317,9.601907696222481e-6,0.36153069798600496,2,0.23895491201512306,Mitochondrial fatty acid synthesis pathway
WP134,5.745868408301159e-7,0.3581174238155248,2,-0.2649937468780574,Pentose phosphate metabolism
WP4324,1.5169301196914626e-35,0.3548077252259423,2,0.18799265382808036,Mitochondrial complex I assembly model OXPHOS system
WP4726,1.9448532729325438e-8,0.35179311673706026,2,0.269015172113428,Sphingolipid metabolism: integrated pathway
WP4725,1.9448532729325438e-8,0.35179311673706026,2,0.269015172113428,Sphingolipid metabolism overview
WP3963,5.2956056770605814e-5,0.3480850350989955,2,-0.2709710362443369,Mevalonate pathway
WP4846,5.7625409162372594e-5,0.34637636879005845,2,0.3803912456484124,SARS-CoV-2 and COVID-19 pathway
WP5110,1.4218918266743675e-6,0.34539510908736365,2,-0.40902164063882296,Familial hyperlipidemia type 3
WP5103,2.178611556575725e-11,0.3389624453453108,2,0.21900130240491017,Progeria-associated lipodystrophy
WP3934,1.2428351562784924e-4,0.3304704476642003,2,0.23505724676829995,Leptin and adiponectin
WP4969,6.462082986861304e-12,0.3293650858781276,2,-0.27506477201436846,RAS and bradykinin pathways in COVID-19
WP368,1.5162623371516435e-13,0.3270586532316818,2,0.2329610235618242,Mitochondrial long chain fatty acid beta-oxidation
WP438,1.622766766452262e-4,0.3247874230979633,2,0.19000790203200046,Non-homologous end joining
WP229,3.918985182822412e-4,0.3238961431206458,2,0.33004226965459516,Irinotecan pathway
MINERVA Nsp4 and Nsp6 protein interactions,1.0437087612003078e-33,0.3222648703954458,2,0.21898980031374515,MINERVA Nsp4 and Nsp6 protein interactions
WP4920,4.3701108540109647e-4,0.3212653558571817,2,0.17900304990811278,Mitochondrial complex II assembly
WP206,2.1842249925277897e-4,0.31835042976387307,2,0.2555679162757693,Fatty acid omega-oxidation
WP623,1.2478454558697015e-31,0.31330539657620077,2,0.18302813908033014,Oxidative phosphorylation
