id,name,difference
WP5089,Kinin-Kallikrein pathway,-0.3414663013843832
WP5027,nsp1 from SARS-CoV-2 inhibits translation initiation in the host cell,0.510928515695787
WP438,Non-homologous end joining,0.5584315734077724
WP477,Cytoplasmic ribosomal proteins,0.35950042412215205
WP2942,DDX1 as a regulatory component of the Drosha microprocessor,0.3555856488764003
WP4506,Tyrosine metabolism,-0.3458747196000842
WP4920,Mitochondrial complex II assembly,0.32081206502038206
WP690,Polyol pathway,-0.31533212914161113
WP107,Translation factors,0.30423414902248985
WP4784,Proteoglycan biosynthesis,0.30118077032379603
