pathway,p_value,effec_size,magnitude,difference
WP702,0.5666076445357999,0.01342266879013632,1,0.006965477486426045
WP694,0.45665893698672005,0.0979382986703912,1,-0.012010224306404232
WP3633,0.7724556817043146,0.04490214850082865,1,-0.0010276918613091723
WP3594,0.47545541171987515,0.016968371089275455,1,0.012055518450130986
WP4224,0.9410363454349016,0.0033569753068707978,1,0.0019503087328309478
WP4792,0.8885478699834706,0.008216259079272408,1,0.004041350866724456
MINERVA Nsp14 and metabolism,0.2910671886170484,0.025340846025969737,1,0.019032087412405595
WP2380,0.6467094744764955,0.00980831148417568,1,-0.006979176902938925
WP3859,0.3621421293514521,0.053464605141656255,1,0.04903708477675669
WP4540,0.41864494455662643,0.023904309170755454,1,0.025006928415540846
WP2118,0.005015146991630976,0.08221447110786362,1,0.14401428568328434
WP4541,0.1735399964715559,0.03712409669075389,1,0.037032460011641996
WP5097,0.9016169858229035,0.00566438610582271,1,0.004025182815364608
WP2572,0.8307818718874118,0.006318206384925888,1,0.006062398753321529
WP2064,0.16116978847279628,0.06478493452474159,1,0.04901762095896664
WP5087,0.22860390301231653,0.01986321501613503,1,0.019975031240427894
WP4148,0.9880594711622899,5.986702063495808e-4,1,7.472401177358715e-5
WP4239,0.07670092606822473,0.0502715168448981,1,0.0460622611438357
WP3287,0.6407600094738817,0.03228439597184001,1,-0.017973945962296334
WP4566,0.394993369808747,0.029301345961828762,1,-0.018011622829150274
WP3931,0.4041170072428046,0.030906620770348073,1,0.02403900989432379
WP4205,0.6090369525988613,0.016930935733727663,1,-0.010036659483704417
WP185,0.9425053006987256,0.0017377247866110239,1,0.0010495391988613384
WP4674,0.20612662302692755,0.04203087311317178,1,0.029980298252607587
WP4262,0.3433711770807357,0.030569325220354725,1,-0.02298691480491795
WP4564,0.4244163111438173,0.0402147710190679,1,0.026954447718385708
WP3981,0.9047730196220192,0.005517399650796622,1,-0.003934082452522917
WP4155,0.952091107955204,0.0022916536179340323,1,-0.0010293564704985229
WP1449,0.23282789622766104,0.033829797761788086,1,0.021995845272380223
WP2261,0.7281196652003057,0.011490367840584064,1,0.006048381653460813
WP3929,0.5376048539374547,0.014563157573154921,1,-0.009967832139346842
WP4216,0.6848483939379071,0.013693997179299703,1,0.011929066027354383
WP4685,0.4524063628767474,0.028287063464893035,1,-0.017047226815868014
WP4255,0.5928845684099495,0.018268688233934693,1,-0.013983363061736363
WP4539,0.4652247434755613,0.02696165379935944,1,0.020050396555629818
WP4172,0.734057526057977,0.005829268008943204,1,-0.005969213720999053
WP3965,0.9344827306589284,0.0032406900483043493,1,-0.003916933719247875
WP5124,0.48627868506415356,0.01126957545294771,1,-0.008982691059062575
WP710,0.9366618839940524,0.002389264360273275,1,0.001980950060120874
WP2059,0.4999465558890133,0.01087905915311858,1,-0.008956178937057654
WP673,0.9923403154787783,2.908878620986366e-4,1,4.626854169811752e-5
WP4396,1.4914230620386576e-4,0.07379785542340432,1,0.12205568809473982
WP3932,0.8347836566036695,0.003511264355326891,1,-0.0030201083483645218
WP4565,0.7790461677742667,0.013229307935967903,1,0.009961118394314666
WP2643,0.7695339624601867,0.013319412916799063,1,-0.007980409756919786
WP75,0.24001467698361703,0.04032931035113176,1,0.023947529051469588
WP4666,0.377355976212581,0.021392935337917373,1,0.013970957558926033
WP4481,0.6669250009623935,0.018329967214677025,1,0.010982374310779
WP306,0.7699499906842427,0.005293055270753667,1,-0.005932689627259663
WP4223,0.13488877872514896,0.033135430134277964,1,0.024029033459041407
WP4561,0.8364835606498056,0.011483661745029126,1,0.008011233879588455
WP26,0.4905595269901121,0.03875820232626816,1,-0.024043008188139488
WP4746,0.8089168202798023,0.007716805953193655,1,0.006955069107367573
WP382,0.6453553091222094,0.009033240661016935,1,0.009013781745045432
WP4658,0.5358268606946919,0.01879072741440015,1,0.01695592102071533
WP4483,0.9507612119998694,0.0041407456097749635,1,0.00202594119643365
WP4263,0.5777400370766235,0.015773182125854494,1,0.009988355702721243
WP4806,0.7645453925526232,0.009513443269523782,1,-0.0060109561579866815
WP4258,0.41876476579429445,0.03696034249723599,1,-0.02895527233634056
WP4707,0.8199908020633531,0.01942060996539118,1,-0.012033905325498239
WP3969,0.9925436428674702,0.0011773963529118823,1,-4.883711597725774e-5
WP5064,0.575256251292797,0.02525102632502619,1,0.015065070868248025
WP4545,0.8717572510402856,0.007162254013158026,1,0.00400740264079793
WP437,0.4513084073262134,0.015071333613606977,1,0.011018888322404273
WP3945,0.32126306220466877,0.04070731708685698,1,0.019956312646933757
WP399,0.8578393229340854,0.006918114701112448,1,0.004990004737301485
MINERVA PAMP signalling,9.542986659372706e-7,0.11149886006832042,1,0.05898056346962631
WP3865,0.1112307749696361,0.054860205921063214,1,0.03300710271339574
WP2637,0.37767420653575307,0.03515663588941958,1,0.02102952782155547
WP5039,0.6365687314908552,0.017828220398830932,1,0.009044621553391568
WP231,0.8127995224380856,0.006550145417252857,1,0.004940076363054043
MINERVA Interferon 1 pathway,2.2045452490223146e-4,0.08534104819421813,1,0.053955809257475736
WP5055,0.8019716385930254,0.008085795216588814,1,0.006032646949775079
WP3646,0.2226792119954422,0.05077690414435405,1,0.036036716280308925
WP2371,0.9354983543190318,0.0035018809244027954,1,0.003977315993480266
WP3414,0.4393449189286128,0.037889921280159035,1,-0.01798242324865265
WP3967,0.11788286814037867,0.0959305122801327,1,-0.06493443929176378
WP2032,0.9864288225654925,5.356461060230231e-4,1,-2.105730558142804e-5
WP5090,0.06815564152802396,0.046831856626703805,1,-0.041950264943203024
WP411,0.7576977676807065,0.005804814860469328,1,0.001993353943891894
MINERVA Electron Transport Chain disruption,2.652807216946865e-8,0.07599106623764,1,0.10398289146934364
WP1533,0.9530407644569567,0.0019301081767526206,1,0.0010127795835562859
WP3940,0.764569361652468,0.010009737294948425,1,-0.007015260344460828
WP4673,0.5095727722646565,0.019442028880264504,1,0.01695350385936034
WP176,0.9958061710024819,1.5616251271052182e-4,1,1.16252458341988e-5
WP408,0.29352127320121696,0.04374102084236007,1,0.04004981021353214
WP15,0.6206459925600656,0.01263832955519311,1,0.011042486365074914
WP3888,0.7782350358901091,0.003185919595193358,1,-0.00298093743606262
WP2858,0.19594683183224842,0.04095932131922777,1,0.04902415284118893
WP4932,0.3297657873286279,0.02385701343713366,1,0.029040752268167158
WP3996,0.6902534738286963,0.01855772587424881,1,0.006972657400918866
WP4922,0.006798917340683077,0.09581617150865784,1,0.13403698602595204
WP4542,0.30622584549719206,0.05387978715902269,1,-0.051920827693983776
WP5094,0.19211972893381807,0.04160562327083468,1,0.055021608212646095
WP4719,0.9289532198307683,0.005028548476539246,1,0.002982674061265195
WP167,0.10450212093967065,0.095705234185301,1,0.10702030706998966
WP4723,0.664995919558869,0.03353969156657485,1,0.025021557029266842
WP1544,0.8338454108846344,0.005978889776947703,1,0.004954738544859547
WP2795,0.535052575453272,0.022160020201698282,1,0.015965022255939584
WP4312,0.248401038965422,0.05354380059049838,1,0.025038747099375022
WP4301,0.25821138891399187,0.05343564453553235,1,0.0330591184423443
WP3872,0.8877252980908394,0.008658721212566835,1,-0.006084600296111512
WP1772,0.6362039539576853,0.015067600659914145,1,-0.016072593577920798
WP254,0.8159745294082218,0.00845380177156615,1,-0.007072926656692775
WP4925,0.7009636016344958,0.036085514410557414,1,0.015099428427476923
WP4970,0.43669330067297896,0.049350497495831404,1,0.05103030902606742
MINERVA Endoplasmatic Reticulum stress,0.4086081645295901,0.014285936067122699,1,0.009937059222382957
WP3611,0.07850524351425296,0.08670239240085188,1,0.06993268666119634
WP4864,0.6747287030660163,0.027096738131940364,1,0.02303528613041209
WP3876,0.2228233020724929,0.1597380161843438,1,-0.1657046954922412
MINERVA Apoptosis pathway,0.51634024032541,0.024398221093550155,1,-0.02903657636282285
WP3613,0.9672159502075066,0.002380937649704703,1,-0.001019401683239406
WP69,0.27716388608000475,0.035169258520059817,1,0.020953745229058324
WP5072,0.3587886481263188,0.03278018297310646,1,0.02498456613132522
WP1992,0.5352843765148548,0.05969721965374708,1,-0.058958826856811176
WP4336,0.1787032801451637,0.06891938667071296,1,-0.05802607977816173
WP4872,0.595438800693594,0.04506380055457356,1,-0.02600592336278807
WP428,0.2936997476537661,0.035873725370575885,1,-0.030049350274015053
WP363,0.8658142052524076,0.006961392196284231,1,0.005922238091777246
WP4659,0.46418547642472485,0.018486602317700968,1,0.012990434183928604
WP1541,0.5380528248945411,0.02356938654218087,1,0.020971312078262777
WP1991,0.7060158249640406,0.05157937515532476,1,0.034480722057792075
WP4904,0.17077030678692115,0.14095491440517274,1,0.07396769244490578
WP4950,0.38220894278114964,0.04415936030773364,1,-0.03102432727936294
WP4905,0.2938240201178921,0.05325001991615544,1,0.06399082165529182
MINERVA Coagulation pathway,1.3790627480050956e-30,0.21675498709713,1,-0.1759859957111734
WP4747,0.38897975918156075,0.03289890238193961,1,-0.021050155515865004
WP4022,0.5014288077905481,0.0221555603131698,1,0.016053484089599765
WP107,0.026453224307949864,0.06472440157742075,1,0.026986381770786605
WP5115,0.42090750069335553,0.015404459719767687,1,-0.012006717608323005
WP3640,0.43033912428756954,0.06833722536167047,1,0.06902388385785851
WP2338,0.8195522857884995,0.0316563907254436,1,0.003027182848765582
WP2942,0.9159385815331806,0.009514517686945756,1,0.003041506256874143
WP4657,0.1010323843583651,0.04786294672483571,1,-0.041043786090856134
WP2805,1,0,1,6.538381498475055e-5
WP2873,0.5956555949732247,0.024625719155657068,1,0.014083098050792473
WP3670,0.9103586167603382,0.007596232541738471,1,-0.00496580777040501
WP2586,0.43817111996138725,0.034077920042262386,1,-0.01695414963780628
WP2882,0.31179568738569036,0.018004860215175274,1,0.016031230968096596
WP395,0.5274557549617714,0.022778161727976042,1,0.015034179072058756
WP304,0.7960635856576723,0.008777124466342408,1,0.006039484591153986
WP4241,0.9827306092028377,0.0012136695422445532,1,9.874308552484028e-4
WP1984,0.7308732663672284,0.00829014682317721,1,0.006998330953830818
WP61,0.8361520669303552,0.009172205705686179,1,-0.006970270974715332
WP4874,0.7055871130563209,0.014861260709508712,1,0.011037977869931598
WP179,0.6443164678949741,0.014064447258025258,1,-0.009077008221174172
WP138,0.6552585164253426,0.013428023156129518,1,0.009044472404917986
WP3657,0.2833955377882135,0.08659962928535322,1,0.06496293269317244
WP4217,0.018802311298371607,0.05020496156385926,1,0.036059442068521325
WP366,0.3860639980521716,0.020318697568738345,1,0.014979555189054432
WP560,0.03932723291806092,0.09558203924239803,1,0.08399398459659405
WP4018,0.8399730601226465,0.005091217491335611,1,0.006048183721341736
WP3995,0.7204795407717363,0.016469106517934935,1,-0.006967285166898431
WP706,0.6894527023033398,0.009951029381832168,1,0.012934227921622677
WP4816,0.023725935769517068,0.10186987556227667,1,0.09407275528344482
WP3651,0.22965191028510779,0.05234084162727621,1,0.03605938844358905
WP4149,0.7346245144371262,0.025028838514105832,1,0.011437224118785236
WP170,0.021795066178310576,0.25080976529956944,1,-0.17703433667663648
WP4724,0.6538509724195904,0.03808685491170082,1,0.021939883661376593
WP4586,0.8987176557718244,0.03182035803691873,1,-0.007744336526096074
WP4718,0.5632736532654474,0.02378578553367575,1,0.014938757839683126
WP3982,0.1786444780610438,0.10389542127954204,1,0.06489159789956053
WP524,0.17034521942757383,0.05345943904562757,1,-0.03500952186486897
WP4754,0.8753428320450009,0.002781832214637171,1,-0.002966188427263274
WP3851,0.014077868463648993,0.13994074268633724,1,0.08302288685679915
WP4478,0.8447711278648036,0.015932240775418754,1,-0.010042738240646013
WP4136,0.10329715163699962,0.0678303994585913,1,0.04506699526449442
WP3656,0.7602070932249619,0.024749111884145632,1,0.011032732344101721
WP3877,0.4961563140662018,0.06085873256835599,1,-0.029600436824772074
WP3298,0.14016233832083347,0.07174665782444081,1,0.05896357147051583
WP3858,0.004985760414715152,0.155791931151712,1,0.07393142834132357
WP262,0.46207764920182676,0.03857495939893407,1,0.015000036618257443
WP4496,0.08889775630221693,0.08919720589738607,1,0.06096224834671204
WP195,0.605663195756007,0.017755047208901517,1,0.011988031012063246
WP4329,0.002927315483698566,0.14366736216508671,1,0.10899692718139971
WP3926,0.2527323439334101,0.10212279745371859,1,0.06006138023532571
WP2865,0.29324022090179375,0.06819381228721723,1,0.039955894149867555
WP2509,0.059692792327745124,0.10930789843765824,1,0.0609568242234663
WP1971,0.34300144748541717,0.04585604681302354,1,-0.02903463474979878
WP3645,0.35949138221374277,0.05002295726136865,1,0.043026917379896376
WP4946,0.16101934872632234,0.047120716043318696,1,-0.02603967123467311
WP4873,0.0864342020330324,0.18759145154924683,1,-0.11104138156504499
WP4752,0.702527373988244,0.025591252663452798,1,-0.01197885261624154
WP4963,0.30500603298340795,0.041338702204171025,1,0.023084426835941474
WP1530,0.3081344234354804,0.04165144617974276,1,-0.026974228979618826
WP1742,0.8122321939538848,0.023989633007534282,1,-0.011019729845349633
WP707,0.38268078142656464,0.03654392748301707,1,-0.024035518811572967
