pathway,p_value,effec_size,magnitude,difference
WP702,0.672844843311421,0.0056280714369457705,1,0.006999275599917798
WP694,0.2677793567734668,0.07174629388797824,1,-0.04301991864967744
WP3633,0.700739083309466,0.030621218559388867,1,0.004049568348738174
WP3594,6.296969708403828e-5,0.05917145817483236,1,0.04600759364637059
WP4224,3.1886274134600944e-5,0.127763050017451,1,-0.11995643723577996
WP4792,0.0026739277883370506,0.11908289383080795,1,-0.10500098350869491
MINERVA Nsp14 and metabolism,3.7110190034155964e-4,0.05424288518316667,1,-0.05497872172168026
WP2380,0.0010402360411251625,0.044016097921435106,1,0.031958518983971396
WP3859,0.12198651131876653,0.056326153259686054,1,-0.06197450249584977
WP4540,0.08916718538214007,0.029844496176753884,1,-0.0270790719216367
WP2118,0.7210597244224167,0.00717597093824993,1,0.008062738579017785
WP4541,0.2583513967051086,0.017838362487344724,1,-0.01799248834363032
WP5097,2.3291305698926296e-4,0.10211599560421052,1,0.10203646369657562
WP2572,0.2438096000477907,0.02169974073428904,1,0.023044974468184456
WP2064,0.56519884306886,0.013209457641686802,1,0.011958529483176768
WP5087,0.3263285317757602,0.009080540238752662,1,0.008002599053034987
WP4148,0.5363060442757458,0.01538011157398726,1,-0.01708807002101339
WP4239,0.8769477306033516,0.0023042977426341767,1,0.0020126418264448495
WP3287,0.982033579458381,9.115248721652457e-4,1,9.846896706928719e-4
WP4566,0.20458346928901583,0.0277302177138622,1,-0.015954928317068028
WP3931,0.11959579916429958,0.028637985100889385,1,-0.021045317525449057
WP4205,0.7161843421671581,0.007225730082579192,1,0.003993565250624333
WP185,0.08525157128968258,0.026187343135500946,1,-0.0230186362845018
WP4674,0.6057089723180851,0.009496533762494257,1,0.005090975229340812
WP4262,0.6032697109588265,0.00862376986416405,1,0.005954770495736743
WP4564,0.583658453847703,0.015869688047499005,1,0.012049261257239634
WP3981,0.007520629667354344,0.07533164423022824,1,-0.03903805500784434
WP4155,0.37159994956971887,0.018774449560602154,1,-0.011949936415325975
WP1449,3.803065353149383e-4,0.056184185563308175,1,0.036975964797986496
WP2261,0.38753123420668606,0.01504699710607528,1,-0.009941403663528484
WP3929,0.8395048196197042,0.002868902233378653,1,0.002031878126667206
WP4216,0.060270796583338546,0.038161280654807256,1,-0.023030479115464624
