pathway,p_value,effec_size,magnitude,difference
WP4211,8.729215530046186e-10,0.5599397621707857,3,0.5630199383845349
WP5089,8.367391466198897e-13,0.43957939089561093,2,-0.534933251063922
WP4153,3.904853653061727e-15,0.4079904044373899,2,-0.420970199357908
WP4815,1.6724779701928534e-17,0.3487794480088018,2,-0.33404123713015954
WP5027,1.1451044149964413e-21,0.32839610325119956,2,0.13101083929134538
WP3601,2.1918899675931663e-8,0.3013158652266595,2,-0.3009686341901394
WP477,6.388898967108435e-66,0.2617338738797699,1,0.12100184879499892
WP4586,0.01286663340406039,0.25975517597066716,1,0.16202602442837788
WP3926,9.916462195539953e-6,0.2478401450653514,1,0.12892410767166673
WP4146,7.280419453964493e-5,0.24373794172133761,1,0.2260318170500129
WP1424,6.756067088130217e-4,0.23354447140303847,1,0.23700285583439862
WP4788,7.444508071176268e-7,0.2333344734941627,1,0.13895916579998757
WP107,9.980895468501319e-29,0.22343903895549894,1,0.10303375293238942
WP4462,1.5305036205238615e-4,0.2219857917322676,1,0.1680049610254678
WP5104,4.392661058079125e-6,0.21624107101793572,1,-0.1999720249903154
WP3617,1.1886612869460641e-9,0.21396130490252083,1,0.16604248050599665
WP4784,1.947213816254248e-7,0.21318690644080762,1,0.14800055865194464
WP4804,3.8545546659127743e-4,0.20813830952248122,1,0.1349534676218892
WP288,2.9104543198220336e-5,0.20303639100365165,1,0.11201202554350062
WP5120,1.0209968161284964e-4,0.19805019368391025,1,0.14900492756295572
WP528,0.04591225292042738,0.1942079458250111,1,0.09622054351264969
WP3876,0.0010155364117467695,0.1882052976839942,1,-0.1360137702817899
WP2485,4.805875469983863e-4,0.1812880279143399,1,-0.23797403299621428
WP4936,3.9763912636226515e-7,0.17982307745468856,1,0.09894001419236192
WP4790,3.233588529765284e-5,0.1702612751211087,1,0.1860051181965809
WP4329,1.6876252939820646e-9,0.1698141857427731,1,0.10600491474183057
WP2916,7.78216821261902e-5,0.16972273652542633,1,0.08705665511444313
WP2113,0.0025477782211187463,0.16925481195624842,1,0.1039807113378646
WP4830,0.0016979357152086402,0.16924900783303393,1,-0.18905676494471196
WP4518,0.002812436606059132,0.1675679036417814,1,-0.263614860476282
WP3,1.9942978986700856e-05,0.1674452030774298,1,0.166046991641244
WP2805,0.005381925170028017,0.1669742627758788,1,0.08999551085049276
WP5021,1.0460647341724907e-18,0.16663529177960584,1,0.10305776174269646
MINERVA Coagulation pathway,2.2159674955260622e-40,0.16631680672613086,1,-0.20702962678970444
WP4210,2.7777590944369097e-5,0.16619131919073252,1,-0.22106603330590224
WP47,0.007030814564546988,0.16562753183626133,1,0.1410459600121355
WP4922,1.1876000214369035e-10,0.1643446621171315,1,0.1700335129715713
WP2112,1.7126145530916522e-7,0.1636214255065182,1,0.08396551270143293
WP4506,0.04372574934549035,0.16007795209776346,1,-0.20702751800274002
WP4357,3.9156466663195543e-7,0.15884568810417607,1,0.1240673167135638
WP2290,1.5474409409771864e-4,0.15670013172191513,1,0.08702960426668241
WP5109,2.5468187085569093e-4,0.15498511844056667,1,-0.14602834699459058
WP2895,0.006014560365663643,0.1540789479365498,1,0.17499315000837762
WP4921,9.727969764775642e-5,0.15299013128845787,1,0.12801032914516286
WP4947,8.647900656781811e-4,0.1527002108949769,1,-0.12696623785168654
WP3529,1.950001163350115e-4,0.15097084513618786,1,0.15001452319528535
WP3613,1.6080261885647467e-5,0.15054214384299097,1,0.10103461582049224
WP111,1.5288833145557427e-23,0.1503415873992832,1,0.158972255449826
WP4723,0.005287517867355763,0.1476364497752056,1,0.11403987380095898
WP558,2.1640580937474374e-13,0.1455194176888599,1,-0.17100312834369819
WP5044,5.531406786142986e-4,0.14479391460355875,1,-0.17405871009412316
WP3580,4.503679578985957e-6,0.14454185379201745,1,-0.18200394904616984
WP4873,0.03793657153217368,0.1426288045863872,1,-0.14791727493480938
WP4480,0.007604957580602495,0.13860017126871296,1,0.08000263264599634
WP4920,0.010454148138612961,0.13828099354588033,1,0.17006102865156858
WP545,6.946545405592211e-6,0.13723682324205425,1,-0.14296734684747062
WP623,1.240298324486035e-12,0.13590266650455948,1,0.1330259197743662
WP516,0.006374233358207316,0.13474196688945944,1,0.11404438361377953
WP5020,1.3526077433774504e-9,0.13376855777688523,1,0.08494156638266256
WP4222,1.562939323133431e-5,0.1335006898312134,1,-0.13005005078176324
WP1455,0.013997856031374958,0.1325201166417708,1,0.14599236077453814
WP4844,3.2500387492535147e-05,0.1284191238672663,1,0.09397720316400206
WP170,0.0035386844124812742,0.12828549128201344,1,-0.14295594228250413
WP4224,3.1886274134600944e-5,0.127763050017451,1,-0.11995643723577996
WP5110,0.0054568936647043185,0.12724598255447325,1,-0.11197356489137181
WP4558,0.0027585576166071295,0.12684760133485976,1,0.08298800645905326
WP411,2.4101103016767065e-22,0.12374978892371939,1,0.06604328657537706
WP4206,7.31557220582726e-4,0.12078401292080797,1,0.09301454161893556
WP4157,0.03165392174162908,0.12053178979421916,1,-0.15094331953810602
WP3658,0.005708432023551683,0.12019008692292922,1,0.07792315989418272
WP4142,0.009880913601894326,0.11978882728641417,1,0.09198083637146626
WP561,0.013870132709759347,0.11951781680326345,1,-0.10599576270222591
WP4792,0.0026739277883370506,0.11908289383080795,1,-0.10500098350869491
WP4324,1.1137170044077035e-9,0.11890802887388219,1,0.11404054681917934
WP2374,1.0820661797093832e-9,0.1184130640625005,1,0.07495961715555974
WP134,0.02330804375871424,0.11779293216335514,1,-0.10296058065993498
WP4521,8.118358352136329e-4,0.11774051043662323,1,0.0630207500052974
WP4856,9.875327983064774e-5,0.11537290594063561,1,0.08195068584830997
WP5094,1.6406198968123706e-9,0.11346957833815101,1,0.11391865059407033
WP2864,2.3066226356808524e-6,0.11252157354631687,1,0.08202405855375895
WP5112,0.017267067490345626,0.11213330324070127,1,-0.08707571280936634
WP4724,0.029104301031754074,0.11181563271304211,1,0.10801147300458672
WP4879,1.775194768885432e-6,0.1113762802814776,1,0.08797986808509028
WP4301,6.273706101595166e-4,0.11071426433193374,1,0.058931722918702065
WP2865,0.002607236312239183,0.1105295198391928,1,0.09904717697684483
WP438,0.038804916817632554,0.10938577638351325,1,0.052042413486766
MINERVA Electron Transport Chain disruption,2.4701026991030583e-28,0.10904888865402987,1,0.10803004552228622
WP272,9.911700532144604e-4,0.10886824287480398,1,-0.14007204505751936
WP3630,0.021761637559123973,0.10806164408742533,1,0.08999099328401401
MINERVA Interferon lambda pathway,5.610991980308881e-11,0.10700827747416475,1,0.06505329564804344
WP2881,0.025265589434973063,0.1053689252370755,1,0.14094218192285252
WP3611,3.789758711062939e-5,0.1050554837836557,1,0.07503416825371666
WP4718,3.4820219166989463e-5,0.10480503662132795,1,0.07295723889265623
WP78,0.0018742293868428085,0.10441038938696628,1,0.10304920759457994
WP129,0.004627608712890465,0.103068775602935,1,0.11701190183964634
WP5097,2.3291305698926296e-4,0.10211599560421052,1,0.10203646369657562
WP4742,0.0497667305671493,0.1018862764464056,1,0.08693499986007049
WP4241,6.9900775956333e-4,0.0998372853731317,1,0.0820388111976511
WP3614,3.843723348547772e-4,0.09955576155176497,1,0.09495836245061255
WP734,0.009153202102671239,0.09929890337868669,1,-0.05796357650375826
WP4880,1.6337314059422614e-4,0.09920720662085195,1,0.060078078487447825
WP5101,0.00937615860703413,0.09905640151147606,1,0.08803613077098152
