pathway,p_value,effec_size,magnitude,difference
WP702,0.001859010386668632,0.055720939235110525,1,-0.16299655783217853
WP694,0.021074610551984268,0.17206045511542647,1,-0.5439983073431608
WP3633,0.004362424469459825,0.2605308189489095,1,-1.0580163134871745
WP3594,1.581291195107083e-4,0.07698947459493409,1,0.07402519724650204
WP4224,0.001010195717617153,0.13423065273742066,1,-0.1609797203070731
WP4792,0.003256046907763452,0.15511518322100473,1,-0.17227172462080337
MINERVA Nsp14 and metabolism,0.009903479369713749,0.05296907574807236,1,-0.07101810807436218
WP2380,1.799091319974503e-4,0.07023743437081964,1,0.06997737906125259
WP3859,0.034352498755322446,0.10327033365139836,1,-0.09594473329156722
WP4540,0.08884357979709567,0.04360215161930426,1,-0.04199009469715174
WP2118,0.04650721386638953,0.057447375023557866,1,0.05500020263949138
WP4541,0.5066140015427123,0.015354787345594253,1,0.014973016652541077
WP5097,0.4844375389919632,0.02749804676759887,1,0.03305176460693444
WP2572,0.4496904247818348,0.020373408182770836,1,0.01704481918805776
WP2064,0.554012854667842,0.021360442723248003,1,-0.02201752536308247
WP5087,0.0039020480024837285,0.039766045462267606,1,0.041958274485740674
WP4148,0.9638397678589625,0.001629352365896651,1,-0.0010469014213108953
WP4239,9.651515574371916e-4,0.07447568728532021,1,0.07601914847584207
WP3287,0.02144428574273022,0.135114586502726,1,0.12304703761669632
WP4566,0.052437021636192564,0.0582184816324923,1,0.05300483669408633
WP3931,0.3202855585106884,0.02878976536020192,1,0.03106322841448852
WP4205,0.4932223375945349,0.019057766739975116,1,0.015971945513799747
WP185,0.127529419068237,0.032843663253888516,1,0.029972720060047933
WP4674,0.004454716092852676,0.0742052424098316,1,0.06597544483419931
WP4262,1.9399852811993125e-4,0.09267825128293855,1,0.08600717325706993
WP4564,0.0133787357469161,0.10219299247176626,1,0.09997346325998473
WP3981,0.29832529999544605,0.04338522869106753,1,0.03195798096221427
WP4155,0.27792677011875455,0.032821866616665446,1,0.03205719594769399
WP1449,0.011597308577193146,0.055791395538941115,1,0.05104446704072597
WP2261,0.9174839409974518,0.002588517426019983,1,-0.002032393237992356
WP3929,0.9633629405525783,9.142527876470427e-4,1,-9.445199495723799e-4
WP4216,0.0033542850815299926,0.08170285512807426,1,0.06897163668686473
WP4685,0.6782342596158719,0.012529584357085849,1,0.012031273747690693
WP4255,0.15943406467500834,0.03833803222310794,1,0.03899214114446376
WP4539,0.24605839886241893,0.038649740333769805,1,0.033960283423128325
WP4172,0.4780822281642903,0.010800765222095103,1,0.012005667429546412
WP3965,0.8525804414511977,0.007088579108146306,1,0.008452245815675082
WP5124,0.002631891057543793,0.04350405749648421,1,0.04499377417218823
WP710,0.09316970680249878,0.04006638456279364,1,0.03793385006204368
WP2059,0.0014879944265293959,0.04566656285152694,1,0.04701723780383292
WP673,0.7527328869555854,0.007597704466235186,1,-0.00699046757618002
WP4396,5.771219663904895e-12,0.11550993806880148,1,0.10994566913736868
WP3932,0.6626819990701565,0.0064978436537892785,1,0.007935282432838309
WP4565,0.026017794672656597,0.08758905051658009,1,0.08599236259296525
WP2643,0.3629293333741196,0.03459430729374067,1,0.029052004599192622
WP75,0.0664246068613609,0.04781181626200323,1,0.04099607215493164
WP4666,0.16748573975918155,0.026212997288190272,1,0.023056587967608927
WP4481,0.8877009859565269,0.0056279678561912275,1,0.004015507205492349
