pathway,p_value,effec_size,magnitude,difference
WP3892,8.241876785299198e-4,0.6153604403455775,3,0.855626301757172
WP438,6.86861848093097e-14,0.5584315734077724,3,0.2759678502268915
WP5027,4.389057096001348e-29,0.510928515695787,3,0.37705667546194
WP477,1.595474207115457e-70,0.35950042412215205,2,0.3759983802943489
WP2942,1.8524010571981409e-6,0.3555856488764003,2,0.1600735592653424
WP1424,9.376221527560736e-4,0.34928916999739745,2,0.4225452484996772
WP4506,1.533459781190535e-4,0.3458747196000842,2,-1.214464339804349
WP5089,6.906308525904916e-5,0.3414663013843832,2,-0.34597290996111635
WP4920,4.164229421743222e-6,0.32081206502038206,2,0.4175729622056837
WP690,5.584929231846708e-4,0.31533212914161113,2,-1.3223707088412673
WP107,4.402622780453013e-30,0.30423414902248985,2,0.26905624503519954
WP4784,1.1466596818672249e-6,0.30118077032379603,2,0.35195610775013786
WP5037,9.895364440758456e-8,0.2993288288673619,1,0.26195531672824607
WP4586,0.0025260970443294816,0.29513202277437267,1,0.3350293729422342
WP3875,0.005625522739638178,0.2891656018863947,1,0.2229720439754054
WP2848,5.53633009771769e-4,0.2821581370635682,1,-0.26106769375930505
WP4228,0.007628911827203468,0.28177056331601313,1,-0.5698748106131379
WP206,3.4147283358586494e-9,0.27956975089009384,1,-1.2299330448630237
WP411,2.9866484232864354e-60,0.2763582668930147,1,0.18205606780227906
WP623,6.784712293570168e-25,0.264371544954908,1,0.16996882852122042
WP2805,0.0013209769376337397,0.2624001467573593,1,0.19897193781987116
WP4142,0.001353719641403171,0.26182517333290173,1,0.2251481386034071
WP3630,4.95479630400348e-5,0.2614577050829763,1,0.2709166197688992
WP3633,0.004362424469459825,0.2605308189489095,1,-1.0580163134871745
WP4324,5.922215749464641e-22,0.25388613585480674,1,0.1789636560382871
WP688,0.004204611108588656,0.24844655114315964,1,-1.0975960488156682
WP4688,3.738492284312857e-4,0.2473934055439497,1,-0.5741370902994019
WP186,1.732700285682401e-4,0.24246589345007774,1,0.11700084276423525
MINERVA Electron Transport Chain disruption,4.404063574789421e-77,0.2422188916309563,1,0.24104783276056818
WP4317,0.0030995787286698623,0.2416858496108668,1,0.24676300207433308
WP5031,7.308360995978057e-5,0.2414234052913663,1,0.24898838198111112
WP5033,0.0032199157687393416,0.2407254948241749,1,-0.22893742524277388
WP1742,0.0010129868003284762,0.23488978432310045,1,-0.20403555381034916
WP3658,1.606785412262881e-4,0.23321992405618128,1,0.1709718361363584
WP4661,0.00211393332244621,0.2292363555689196,1,-0.6480373582456943
WP691,4.897038149391288e-8,0.22910240815240757,1,-0.9660618957699675
WP4873,0.019796308721956594,0.22890600524030313,1,-0.2489366663253981
WP2916,9.726621263212493e-5,0.2277353542799972,1,0.14605616675754338
WP4720,0.0023258399849470585,0.22710345704403023,1,-0.796053009830769
WP111,6.256948059913074e-30,0.2253235443994959,1,0.17999071722674231
WP4921,7.3864408334379714e-6,0.2227504272954743,1,0.14996053942714893
WP4479,0.0012969432843906016,0.22206825937578878,1,0.12904747797877691
WP4815,8.623455678741113e-5,0.21617970437099593,1,0.20705363683566552
WP4292,9.447261820128976e-5,0.2159529563194031,1,-0.6209908462306553
WP2361,4.878303699795904e-4,0.2138857583904941,1,0.16004196661469064
WP78,7.340867987213199e-7,0.21371495385090322,1,0.24595134631073032
