pathway,p_value,effec_size,magnitude,difference
WP702,0.762671205218245,0.005613895982344686,1,0.005022527273017448
WP694,0.12274769598914206,0.14061495903957485,1,-0.14017616818281212
WP3633,0.4923238417353022,0.071351655584608,1,0.01895318639234382
WP3594,0.3948326090891013,0.016595633936152064,1,0.020050613578004913
WP4224,0.012588309765534074,0.0937187707831468,1,-0.10596394375799557
WP4792,5.382251739247101e-4,0.1685036854630649,1,-0.20191855423648097
MINERVA Nsp14 and metabolism,0.029638460825686778,0.041549730341930415,1,-0.05197654401059617
WP2380,0.1608751171443166,0.02416436897499991,1,-0.028026757097883503
WP3859,0.11644017754970837,0.06899443700173359,1,-0.09700121536500479
WP4540,4.406768576209675e-11,0.15058641091239097,1,-0.2039879193899624
WP2118,0.019694786694059316,0.05845094628336709,1,-0.09599769972506422
WP4541,6.633317406060833e-11,0.13540024813233845,1,-0.19794855477656617
WP5097,0.2490191765147819,0.04104592463553465,1,-0.08298420384453643
WP2572,1.9071194117882515e-6,0.1129594739614494,1,-0.18500454560035745
WP2064,0.005538864392805234,0.08834380064871945,1,-0.11705788684774343
WP5087,9.33205176701192e-13,0.08689272891930437,1,-0.12305234776203364
WP4148,2.5536225944346577e-5,0.13702926221621292,1,-0.19092401688768448
WP4239,2.3735817462515606e-4,0.07107927148396773,1,-0.10596437853553507
WP3287,0.9194111153684728,0.005180535787271003,1,-0.009041270490210834
WP4566,2.5580308930858253e-4,0.1020026895235893,1,-0.0969488632157735
WP3931,4.715423955913305e-5,0.1068304642456858,1,-0.12698727198903717
WP4205,4.032554675178084e-6,0.11645147376133229,1,-0.11101861595963268
WP185,5.23821808375053e-16,0.15562340346469816,1,-0.1999726414328496
WP4674,2.4579632321308404e-6,0.11872267962073925,1,-0.1219466840387005
WP4262,0.025906639099491084,0.05025369251411318,1,-0.053932557873546894
WP4564,0.015673466551563618,0.09056882004875648,1,-0.10503226385935514
WP3981,0.0019072759667439992,0.11224420368434093,1,-0.11201260848367535
WP4155,0.0012039209269559985,0.09199171162619875,1,-0.09499520559147799
WP1449,0.23155835111019257,0.024210345211585334,1,-0.027983645605533868
WP2261,3.050294398401891e-10,0.14563906249441916,1,-0.16005865488386822
WP3929,4.0307220247453845e-11,0.11761053395855778,1,-0.140013564423541
WP4216,7.003821958382321e-5,0.10283750873330169,1,-0.11003313602863947
WP4685,0.002595553252878498,0.08231415921869309,1,-0.08902288763814555
WP4255,6.227307407290595e-4,0.08233426745172767,1,-0.09404170333490725
WP4539,1.6550896616507086e-4,0.118172180952485,1,-0.11395819358286091
WP4172,2.5474001907648232e-12,0.09462109429723894,1,-0.1490140637663255
WP3965,0.4305159012170419,0.02928598705758272,1,-0.02901281978290913
WP5124,0.707681376344721,0.004981208477757223,1,-0.005913389590297385
WP710,0.0031018751589566886,0.06487881916768247,1,-0.07795903463499815
WP2059,0.8906327975641285,0.0018168049988504398,1,-0.002014951953550178
WP673,1.4229675084416546e-7,0.11752201964058197,1,-0.1190303294253728
WP4396,0.017876484040201934,0.03916098814443971,1,0.04104325449583052
WP3932,6.6893481077931445e-9,0.07753491536582206,1,-0.11800789500701221
WP4565,0.059126155065486886,0.06740952806274468,1,-0.07597897570881505
WP2643,9.527596658948048e-7,0.17179229550734254,1,-0.17894291350703986
WP75,0.025197463527813414,0.05505633578504093,1,-0.056026211741487086
WP4666,1.4192925317810286e-6,0.08439422595022451,1,-0.09493519611803905
WP4481,6.047345027744303e-6,0.1628563056051391,1,-0.1640555761431995
WP306,2.414264584299344e-16,0.11610940395388848,1,-0.17602249659090327
WP4223,9.038306287862481e-15,0.12866706996834992,1,-0.15095620738708335
WP4561,0.07739949739654668,0.07430969816521603,1,-0.08703736405101169
WP26,1.062561871966464e-5,0.19095547868666168,1,-0.26104657979214413
WP4746,0.018222829801449243,0.06005044019083026,1,-0.0630043960636538
WP382,4.391356818580796e-7,0.07641027557159133,1,-0.0929601314061635
WP4658,3.0351298398746618e-5,0.08900397301314529,1,-0.14297961403000134
WP4483,0.056766251673077715,0.08547447912123482,1,-0.08493521836093194
WP4263,2.2133905464182633e-4,0.08181286742303039,1,-0.08500618341264567
WP4806,8.834769658652338e-4,0.07659009237305024,1,-0.07796503957079914
WP4258,0.14522239959325664,0.048159825685440444,1,-0.06102989795846657
WP4707,0.06101715505869186,0.123883522326526,1,-0.1450568435105305
WP3969,0.19099217368256208,0.0880578525137936,1,-0.08607624076605197
WP5064,0.012438340077436232,0.09819904771210991,1,0.09000112835640889
WP4545,0.14917844096344623,0.05126225870806573,1,0.04697785615820754
WP437,1.4278307307472722e-9,0.09079964604624684,1,-0.10504494101030275
WP3945,0.036892487300099586,0.05781769608335724,1,0.08606730904060751
WP399,0.014654427071594249,0.06715827058264244,1,-0.09099888084837701
MINERVA PAMP signalling,1.1878570729720971e-4,0.06402850146853309,1,-0.055041615775196395
WP3865,0.844363388393058,0.005124206323815121,1,-0.005057673083644128
WP2637,0.25845245380254644,0.03341436547525077,1,-0.03293338549643481
WP5039,0.6576683499588991,0.012690025054771726,1,-0.01604785918716873
WP231,0.7216400538476287,0.007431189166795191,1,-0.00800523573693632
MINERVA Interferon 1 pathway,1.070095474020396e-4,0.06779038103257044,1,-0.0670355519524581
WP5055,0.019281157504799782,0.05754005034729313,1,0.10999816526151188
WP3646,0.8938600605179844,0.0042472806158704805,1,0.0049871900260495365
WP2371,0.8459922813855598,0.006602719741265714,1,0.009970268497983001
WP3414,5.147884288760621e-4,0.11829513961030215,1,-0.12596494854501156
WP3967,0.6001996973944446,0.027697616047554243,1,-0.05104977570182468
WP2032,1.2135549530841406e-9,0.15134924489827892,1,-0.1649882809016452
WP5090,9.770361380667322e-8,0.10232973907225458,1,-0.16501379151305853
WP411,3.3647966546365983e-38,0.2012017687058297,1,0.17305321749986433
MINERVA Electron Transport Chain disruption,1.1588263026629494e-27,0.13925755657255506,1,0.12894381282277445
WP1533,0.20883132471158908,0.03320226763912453,1,-0.06804309937418165
WP3940,0.6974496549645439,0.010998917144996723,1,0.012018423291553972
WP4673,0.1909106293258398,0.027530861960621402,1,-0.045028864727182
WP176,0.8720566466232682,0.003780557386053593,1,-0.0070377796787932595
WP408,0.29193437231033875,0.037864497719361255,1,0.057594632406147414
WP15,0.6433812880905292,0.009514936334657456,1,-0.01701664228043462
WP3888,0.7625871751679875,0.002784376045333029,1,-0.0030256450044162334
WP2858,0.07365979460335277,0.04201054977060907,1,-0.05800057679725556
WP4932,0.1190646763972742,0.030581303393292892,1,0.04500893135066162
WP3996,0.7517191305826104,0.010732215434577176,1,-0.013007632301606424
WP4922,6.415835102621583e-10,0.22476747234497077,1,0.21899924866208925
WP4542,0.004296440941071794,0.10801570360582378,1,-0.12200281660055817
WP5094,0.09619658338286145,0.04127008122440102,1,0.06597791271537799
WP4719,0.7489953607167691,0.012810424260398105,1,-0.014972789955951575
WP167,0.4762807085784544,0.029067877794873374,1,0.05803424657670935
WP4723,0.019978369202954083,0.13960962575348151,1,0.16099010355020538
WP1544,8.973481024608453e-6,0.10012407602828369,1,-0.12497994172015454
WP2795,1.4356055521983776e-4,0.10441090881022833,1,-0.11795115826114189
WP4312,0.08580230746236836,0.061246453838711724,1,-0.06699267462401648
WP4301,0.0180103289037356,0.09649977628482444,1,-0.09696797735066613
WP3872,0.010399435531619825,0.12505165158753737,1,-0.13102865919116657
WP1772,0.2062416230830944,0.029075319831715657,1,-0.037933316913909276
WP254,0.24308813216911537,0.029368549569572976,1,-0.03504606290641435
WP4925,0.027149891812747816,0.13427324716846106,1,0.16061835331156205
WP4970,0.3935421994714871,0.0490664430121048,1,0.11096260575166446
MINERVA Endoplasmatic Reticulum stress,6.011940805475422e-33,0.16826657204126372,1,0.21101099939078755
WP3611,0.6562681863197561,0.014475730764445199,1,0.019997335389691916
WP4864,0.8880760231474291,0.006364007508744151,1,0.0060560108532748255
WP3876,0.020152067412074686,0.17681177760678085,1,-0.25895183330374816
MINERVA Apoptosis pathway,0.17550052823314022,0.036997414626807286,1,0.04493013167491412
WP3613,1.788667261377497e-8,0.2594972346930569,1,0.3235249590217029
WP69,4.935181883042212e-7,0.10855626572312489,1,-0.11500961500829257
WP5072,0.00799461986829378,0.06862146046474452,1,-0.07697645080113967
WP1992,0.3472257953045658,0.08146167727975696,1,-0.13798821465007868
WP4336,0.2277224103788399,0.04350629920594497,1,-0.05793582031931378
WP4872,0.038587668387150845,0.14458483266695768,1,-0.13594161848734992
WP428,7.000048685440048e-6,0.11216886446619097,1,-0.15198893013735326
WP363,6.068406145730069e-5,0.125137945043814,1,-0.1389717369919476
WP4659,1.9381466380928082e-6,0.09042125198446403,1,-0.10696781341664624
WP1541,0.6987312445305222,0.011982664817996163,1,-0.016053973651328685
WP1991,0.6529616987893627,0.04969816416664578,1,-0.06094955162918902
WP4904,0.0038113761647794076,0.2311013209310548,1,-0.23094465627618044
WP4950,0.23936616347490644,0.04598340534709816,1,-0.05696760481287838
WP4905,0.008823904383353627,0.10884765239639865,1,-0.1600731160101555
MINERVA Coagulation pathway,1.3827109167204436e-49,0.23116985011744695,1,-0.5020065406120997
WP4747,2.411376962331841e-7,0.14990248444472942,1,-0.182016580298824
WP4022,1.3927307239494874e-4,0.08758077941143999,1,0.10299215261543665
WP107,6.444163204730914e-17,0.20814275242024777,1,0.1910105382723993
WP5115,6.43415023322856e-8,0.07897685299710806,1,-0.12503540906524446
WP3640,0.7932918168753091,0.013438598241058567,1,-0.020026417840191463
WP2338,0.35259562816998957,0.08086618228517146,1,0.043039214764657795
WP2942,0.060784432345637525,0.1399017898034889,1,-0.10298370886772953
WP4657,0.016575709478453063,0.05270151408620132,1,-0.07498802954156666
WP2805,0.5288254894403596,0.05487313094555543,1,0.0439645362575406
WP2873,0.3331067389345104,0.030954102261389557,1,0.05102455188889472
WP3670,0.04401379402110872,0.10574103490545043,1,-0.15504434678989246
WP2586,0.0016081230255208289,0.10092401274317413,1,-0.13193377530944095
WP2882,0.6188137070150164,0.006635091350118016,1,-0.010988852424244943
WP395,0.01697338286305809,0.0665218716422246,1,-0.0679370756218603
WP304,0.02593998085768252,0.0564432361074604,1,-0.06303617359715238
WP4241,0.10934821870396709,0.06447128861439883,1,-0.10609049822516632
WP1984,0.05733442956038267,0.0338454840216447,1,-0.03794303522353392
WP61,0.06096154136018071,0.05634677567419858,1,-0.06108025414772306
WP4874,5.3665404667235256e-5,0.13056940673383194,1,-0.17000489517320763
WP179,0.2112164574049861,0.02819784738923234,1,0.03202884605692973
WP138,5.972751653738579e-4,0.07623021267261086,1,-0.08904384508642856
WP3657,0.6181954225241051,0.022001531286288473,1,-0.023019415275872188
WP4217,0.09376748392668682,0.02802477609352894,1,-0.03603796215040784
WP366,3.139412567278002e-5,0.07492943230875547,1,-0.09194507072946681
WP560,0.007742542944412304,0.08804476348382984,1,-0.11804640826823497
WP4018,0.5491575283237571,0.012243632668466555,1,-0.017538637943966408
WP3995,0.04067391702606243,0.07454963256692322,1,-0.10095427207009659
WP706,0.06210222182860376,0.038757619612004246,1,-0.06904408977090502
WP4816,0.002587589635864252,0.09704417857102389,1,-0.13494005220940808
WP3651,0.011330992423788685,0.07220794809288475,1,-0.07295984001981787
WP4149,0.9733230936404185,0.001762434825728544,1,0.0029536077128390474
WP170,9.408663175800599e-4,0.2278126980072311,1,-0.33344020739953695
WP4724,0.009076966709596375,0.15248210024959835,1,0.18299823111125302
WP4586,0.8511938207449672,0.01567891050271988,1,-0.018910340021181075
WP4718,8.805264446295727e-5,0.12160033647872205,1,0.1389173298372102
WP3982,0.6174229689660403,0.024756954719660235,1,0.02599211621138408
WP524,0.018282214323294136,0.0717124565649894,1,-0.09100246326248396
WP4754,0.6913193580690316,0.0055493329437400025,1,-0.008052845841362389
WP3851,0.6615909984998596,0.01838071897935355,1,-0.015923096710525504
WP4478,0.49418054386904536,0.034127496581823076,1,-0.04300375268711379
WP4136,0.45990981759454136,0.022919581389432543,1,-0.02698923765318206
WP3656,0.1650590567584334,0.08950542741137718,1,-0.0955190233429085
WP3877,0.8873255976230419,0.008176900996497934,1,-0.008072740625116894
WP3298,0.816239581699245,0.009218851163159928,1,-0.013050962807518707
WP3858,0.5529124170298972,0.022816475811676694,1,-0.02092886113469519
WP262,0.877872769238089,0.006939905340425023,1,-0.007003707074311219
WP4496,0.9898579789114932,4.6375101446953726e-4,1,-4.554393494591983e-6
WP195,0.02963812217340159,0.056064188660355806,1,-0.05992786895025262
WP4329,0.6654957011980103,0.015680284987670563,1,0.016050490355626567
WP3926,0.8229637143978741,0.014461673389064322,1,0.013961789690619238
WP2865,0.9657532784369339,0.0019191334742705579,1,0.002968303191602563
WP2509,0.12870362426796625,0.07415734061430342,1,-0.06696880249603644
WP1971,0.1309243411673188,0.0510983786342074,1,-0.053003326491084725
WP3645,0.6577426363118668,0.019952005446962157,1,0.027065162579448618
WP4946,0.40202674924170084,0.018201385291266567,1,-0.01796418054396782
WP4873,0.1425779561954494,0.11758214127173579,1,-0.2090435292916375
WP4752,0.6846778156086071,0.01760596337175285,1,-0.01600107250588946
WP4963,0.42537418419640705,0.023929714307201703,1,0.035042642024178915
WP1530,0.871822693134716,0.004769585261437091,1,0.0059740653042438824
WP1742,0.08732636517496341,0.1138162277310549,1,-0.2106141881621718
WP707,0.8438286966732546,0.005916666998791003,1,-0.007991580396346967
WP2849,0.015258495532861469,0.08860002881381164,1,-0.1529274171362651
WP244,9.749084342995497e-7,0.1488660999888522,1,-0.21199740299869943
WP22,0.004684841265015003,0.1357700768229976,1,-0.1280388804018304
WP4788,1.4778175523782469e-4,0.22327680040434272,1,0.21003486609480174
WP4814,0.6606982658205538,0.06455136917639627,1,-0.08006778772262493
WP4871,3.195629063007629e-5,0.1363862377844048,1,-0.16998992791159417
WP4842,0.12269607436637982,0.12377087064511139,1,-0.15700872071426317
WP2857,0.2260648143510252,0.030180987420599083,1,-0.03897399705075815
WP4352,0.24316292839623171,0.015706181049846807,1,0.017039185860971685
WP111,2.611298707183641e-16,0.1550828132527465,1,0.08801452484035108
WP2038,0.03205749254541602,0.06283617663166038,1,-0.07603666768478644
WP4538,0.025645677006174972,0.06627059247307357,1,-0.07896266038788108
WP3303,3.653358562069969e-7,0.12127315788637005,1,-0.12896555166121665
WP2446,0.007132475649017878,0.06743550354470716,1,0.07399252064512661
WP481,1.7892964866049278e-7,0.08438054837502669,1,-0.0980277568441627
WP4655,0.8397570324520778,0.005475477461337692,1,0.005918277178371813
WP1601,0.1681017015576629,0.04923363484150712,1,0.06994860482243503
WP615,0.047679904854006805,0.04165494869600377,1,0.05600239568076219
WP2911,4.5530171981581856e-7,0.18202659780570005,1,-0.4339583770596474
WP453,3.1338933588737013e-4,0.162169478337523,1,-0.4090072687311932
WP3527,0.13766011969102362,0.06969627312030988,1,0.08106625955070557
WP2267,0.26761492406521553,0.03631781705560501,1,-0.045048824679746816
WP5117,1.311098527755038e-4,0.15262047124463912,1,-0.14591583333761138
WP5118,0.00806334712225115,0.15617366420057635,1,-0.12301941127305434
WP4240,0.12140322365962991,0.0952155900354289,1,0.07597615382635697
WP4949,0.11081350655790036,0.03865233114816673,1,-0.05093212824541751
WP35,9.434698020204875e-9,0.1331797175594623,1,-0.17094664139777685
WP51,2.284825218117836e-15,0.1381003332568494,1,-0.1729596776918959
WP4534,5.011336356994751e-6,0.14376687323462153,1,-0.18700383799017536
WP4016,0.2574575858401124,0.031956041173988245,1,0.030993905064041864
WP3300,0.7780167487986023,0.01928055512836638,1,0.03285224945234395
WP2272,0.014389492331989592,0.06105314929925918,1,-0.07891134718537689
WP2447,0.40398266621214746,0.025648597609550697,1,-0.03299335473919256
WP2355,5.074654724109984e-4,0.07695955618527517,1,-0.10799311897880512
WP4906,0.7389739750695956,0.010312004031345414,1,-0.01195124610355694
WP5092,0.6179215608987749,0.030766081469956488,1,-0.04498700827025169
WP4298,0.0025419195887742864,0.06802179312169758,1,-0.09298792383573112
WP2328,0.0011333875545596105,0.07814977429284971,1,-0.15103348717896853
WP536,2.7406781544974654e-5,0.08515063583476436,1,-0.12902307959285408
WP692,0.1978104812788394,0.07125955449596769,1,-0.08959278440550204
WP3925,4.3738107298663315e-4,0.06626593195694518,1,0.07204081013540008
WP2884,0.47533926339579946,0.014657338359220177,1,-0.022952538900658914
WP585,0.0058518505254507224,0.06966730535599752,1,-0.07203478670292818
WP4784,0.004226699328802578,0.17384009160332559,1,0.17997708208370827
WP3878,0.5049550549557189,0.02017960359937073,1,-0.01903370015232824
WP4879,0.44794441001309154,0.022587977494081327,1,0.0269486588940261
WP4844,0.8836667114235306,0.006006751845764903,1,-0.006054401408980891
WP43,0.19841677948000924,0.04140519078445072,1,0.03399213933152201
WP4523,0.056594802841117606,0.12634451655222123,1,0.09402120573553739
WP4524,0.7235687299596401,0.021834283602494647,1,0.01304543590685584
WP5114,0.46983910178208277,0.019222530565384807,1,-0.019010792649862565
WP4204,0.5574362783096434,0.023534753660831076,1,-0.02300741380789515
WP4553,0.05386317800181883,0.09790685313415526,1,-0.12297719842948618
WP2369,0.09797463742894068,0.07251297786889264,1,-0.08297065012689703
WP4320,0.06085859097975656,0.0742826101606181,1,0.07395043324443223
WP2806,6.903119776037006e-7,0.09459293734637737,1,-0.19997886162972453
WP2839,0.007877410474421477,0.14721655176090193,1,-0.18205512675212782
WP623,1.123014549898259e-6,0.11854048214091452,1,0.06504019640810947
WP2436,0.5812366183088999,0.029563509750553715,1,-0.04302982252157685
WP704,0.2279957807960337,0.07236355100325394,1,0.06703097183686574
WP697,0.7560055067690657,0.014013716299257642,1,-0.006037558222121977
WP4288,0.44240405759406154,0.03347733139571696,1,0.04496221589844204
WP550,0.43950979030196,0.059449134056818016,1,0.04659441345468858
WP3595,0.5448051762509825,0.061656555090332486,1,-0.06600765681778048
WP289,9.418342321220883e-6,0.08400738597107889,1,-0.12995005481539382
WP4787,1.0561868843805337e-4,0.10483287610895918,1,-0.1409546550206892
WP3664,0.20624044413580708,0.09040531730310407,1,-0.08709036545495086
WP3680,0.007932203860379846,0.06901405528987939,1,-0.08601392975596621
WP4150,0.04793414804342112,0.11349300457108193,1,-0.15896172278998966
WP2011,9.847443138741255e-4,0.17872863436730474,1,0.2100476075579138
WP2874,0.8298063396896015,0.01616447183266965,1,0.00998519639323611
WP3942,0.9975075810098244,7.735224433052925e-5,1,1.7681322715464617e-5
WP3915,7.852088177271264e-4,0.061962211913488635,1,-0.07104879640498521
WP236,0.1388851091034398,0.03505025347842911,1,0.0579528102922495
WP299,0.9023433362757679,0.005928501937344924,1,0.0020078770282950876
WP2878,0.22631671390719862,0.047949492507254755,1,-0.07697806878240687
WP3286,0.819641856754397,0.007539049577933739,1,0.011057129570280114
WP727,0.006830664802006759,0.12559767720191273,1,-0.203032076472058
WP1455,0.977393800083915,0.002083977879571618,1,0.004053915363056488
WP581,0.061737076098763485,0.0731184319752792,1,-0.07304198080543037
WP4875,0.07689038840991212,0.08583579375417268,1,-0.10692860838061764
WP4549,0.029976475202361054,0.040145001920468056,1,-0.04704252409894631
WP23,1.5672410463951002e-8,0.11122821396597389,1,-0.12402796325632652
WP183,0.011759756859388577,0.056617626853821386,1,0.04594857207150013
WP1422,0.0206684058212871,0.11059093377146294,1,0.13599090937855096
WP3937,0.18976637993288586,0.03878904858842361,1,0.050993580737264135
MINERVA TGFbeta signalling,5.505373358796565e-4,0.10953176788810888,1,-0.1279497573459408
WP405,0.06405130197689794,0.059038757441606235,1,0.0550152958550502
MINERVA Pyrimidine deprivation,0.6545910888905736,0.011387813510257251,1,0.011963055112990435
WP4656,0.06244701606113754,0.05898033367870821,1,-0.056961978360316134
WP2516,0.05832002603057178,0.07353966706706438,1,-0.07305997348984883
WP186,0.005353752206607329,0.1791022248283645,1,-0.12195165682624275
WP3959,0.885867983240505,0.0042214304279572885,1,-0.0040579137784078866
MINERVA Interferon lambda pathway,4.0546125901850295e-7,0.10733555178439104,1,-0.09702706097672945
WP4558,0.1838167208215649,0.0721206176386413,1,-0.07193516325790543
WP732,0.006998727614337331,0.14237316222587335,1,-0.13505525613980848
WP2583,7.804004994673071e-10,0.23703146115040152,1,-0.28798890274315847
WP5098,1.0136147027615734e-4,0.09348864330662549,1,-0.09595367831214198
WP2877,0.8373562176315072,0.003938799530455277,1,-0.008994793893658011
WP2853,0.15478307077289316,0.032230427765560496,1,-0.040019042018266254
MINERVA Kynurenine synthesis pathway,0.9085491286478725,0.003154752900115598,1,-0.005041244841856838
WP3630,0.1175412500912458,0.09886664686063051,1,0.11099334042873404
WP3644,0.7937152261407728,0.013518250574028202,1,0.012030194201276798
WP5046,0.1987504962244135,0.05129365977923409,1,0.06601562683052481
WP4210,0.7839198622444745,0.01469534871462192,1,0.017960379025059085
WP4191,0.4627036149413139,0.06142354598048134,1,0.06719963020021566
WP1425,0.32391886526578656,0.09486602389028054,1,-0.13305248029876598
WP410,0.025669016789404028,0.07640061601223082,1,0.11499517172506431
WP4008,0.06372574762501326,0.062015998957652835,1,-0.11100379653261405
WP3624,0.6100842309135257,0.017782774086952394,1,0.03704397081346745
WP4838,0.5512768775536157,0.0209819380330214,1,-0.023001984857196612
WP2363,0.5407225758120255,0.025957933381120863,1,0.03006817578976035
WP4228,0.044711456483637974,0.19355483373266893,1,0.08901884545387612
WP554,5.543044131246227e-4,0.19217677347054243,1,-0.42604275143060033
WP4313,0.5232981025291445,0.0191960859660499,1,0.025037203469043777
WP4571,0.02633051278096771,0.14287016194510835,1,0.04598908324787064
WP4595,0.0375765945883268,0.07804935202407397,1,0.04804799214946072
WP45,0.05852003076586771,0.06392349455388324,1,0.0790064876579613
WP5121,0.7317331434673746,0.014236472894033356,1,-0.017951301560258082
WP2374,0.2460177155292542,0.028509015696161977,1,-0.03299885646284724
WP2431,0.18733741681879984,0.030780841595104812,1,-0.05694971280945188
WP466,0.015336563418494523,0.08789001961456366,1,0.08501150168691471
WP53,0.01582888662475233,0.2578173730445113,1,-0.32502985479313007
WP3941,0.2643033891746563,0.037235652018480274,1,-0.04993330086454032
WP2828,0.02035138864101581,0.07865491702415806,1,-0.08905014646291867
WP34,0.7528431004781968,0.017789507977205462,1,-0.020013579913489125
WP3863,2.7577320573164566e-6,0.12656887046212406,1,-0.130030982782032
WP268,0.8219064230871731,0.008732748453378656,1,-0.00904691452452368
WP477,3.779445699265631e-96,0.3878415027817383,2,0.3209755715931874
WP4222,3.629717286385732e-6,0.2218343483142439,1,-0.30085806733755327
WP3676,0.002917079888943557,0.10504012201494577,1,-0.09997516314328797
WP1403,0.30463399794670853,0.027962357317068216,1,-0.03290485106206682
WP4521,4.166520877286412e-6,0.20464203052699603,1,0.22096693995378375
WP4947,0.20447122580195784,0.07772173094643614,1,-0.11598298840081958
MINERVA Nsp9 protein interactions,0.014831722013478486,0.028388674924958206,1,0.03200722958815664
WP516,0.39952398931880306,0.047364042129178864,1,0.07514339781584448
WP3845,0.35377841850681524,0.054507859483929444,1,-0.07398815177257168
WP1602,0.014237313997408959,0.1470745729698872,1,-0.26597857535430136
WP2197,0.010274245013101157,0.10130140971790956,1,-0.15394487910594187
WP2895,0.1800647325960673,0.10966520329500301,1,0.23568273886367974
MINERVA E protein interactions,0.02731442990401884,0.07398456471921715,1,-0.10000260557162856
WP5027,2.214955332987981e-14,0.3182427873387383,2,0.25894454429314256
WP4803,0.10847371917806042,0.039185204250085336,1,-0.041045871927825314
WP4286,0.04682856303777909,0.06830978073531664,1,0.08597997289307525
WP2359,0.62182475321941455,0.011014404634138527,1,0.01102974131249556
WP5074,0.013177910593566136,0.14537262793689473,1,-0.11606828973476438
WP4753,0.5397644736964191,0.018981391893383888,1,0.019965331154274377
WP5053,1.4712715098330452e-5,0.20031192271209033,1,-0.3510731683912998
WP5037,0.4030050644251956,0.04933437118021494,1,0.049029833817119714
WP1982,0.04703308448438333,0.049132527042313884,1,0.05799375546359997
WP4507,0.44506715959775067,0.049271946232291815,1,-0.039090232084952374
WP322,0.4646518661337435,0.05464410415390011,1,-0.09328990690246115
WP474,0.18446971249167649,0.04397495474713204,1,-0.07002369205701789
WP4808,0.18446971249167649,0.04397495474713204,1,-0.07002369205701789
WP3413,0.4958143534951856,0.04386160221948836,1,-0.07086347556628432
WP3958,6.055958967730362e-6,0.2502452258632784,1,-0.29300088421692955
WP2916,0.14413029230048638,0.0834090924321931,1,0.06894091370141381
WP4290,0.009453627298357829,0.06718923462171618,1,0.07807305729542068
WP4917,0.26937587706840693,0.03871974247317417,1,0.058980431125616614
WP4918,0.313528419070555,0.06867461593909047,1,0.07094461578577291
WP438,0.09769853020183394,0.11549668375586136,1,0.10802541646076859
WP558,2.5786741835828496e-16,0.2016639164774606,1,-0.41601212007250277
WP430,0.007190097739764358,0.09888489793513928,1,-0.21000271639924217
WP4722,0.9479273032337573,0.003189998161993141,1,-0.003995433295818304
WP716,0.0018762029484708476,0.11278913304313454,1,-0.16602160684848283
WP5101,1.866804300252739e-4,0.19890574013462647,1,-0.28200369316283946
WP325,0.05181731071412337,0.09677871974983016,1,0.11296111736363412
WP1471,0.49544529804167947,0.022766234693031226,1,-0.023018528069642098
WP3601,6.601519487486499e-6,0.2655832259891583,1,-0.5949959315334792
WP5110,0.005393949058401758,0.15707354889162653,1,-0.2969702683922941
WP5112,0.03329908313033947,0.11829190196634556,1,-0.20205002480511575
WP5109,0.002234774484181897,0.15832510358539048,1,-0.34702059276653563
WP4522,0.005877481555628691,0.12694356562012332,1,-0.27699849052761727
WP5111,0.3096639429646563,0.048903706254084016,1,-0.09000690259224
WP4389,0.15247391137157734,0.10709089461154209,1,-0.14202359573133244
