pathway,p_value,effec_size,magnitude,difference
WP4211,2.8760425024607867e-6,0.5955098044638496,3,0.9159736739878546
WP5089,2.2583473840002487e-10,0.48805938375780816,2,-1.04374416205312
WP477,3.779445699265631e-96,0.3878415027817383,2,0.3209755715931874
WP5027,2.214955332987981e-14,0.3182427873387383,2,0.25894454429314256
WP5104,1.6600671939268356e-6,0.28236442999946715,1,-0.4320007121186393
WP4493,5.267085373887195e-8,0.2735029074930228,1,-0.4509932886613486
WP3601,6.601519487486499e-6,0.2655832259891583,1,-0.5949959315334792
WP4236,3.7553967422579834e-5,0.25973685702243127,1,0.104953335057311
WP3613,1.788667261377497e-8,0.2594972346930569,1,0.3235249590217029
WP53,0.01582888662475233,0.2578173730445113,1,-0.32502985479313007
WP3958,6.055958967730362e-6,0.2502452258632784,1,-0.29300088421692955
WP528,0.03637046577980016,0.24752466395382205,1,0.16913386179211368
WP545,1.1874951195815007e-10,0.24415215740138327,1,-0.42594505302609775
WP2583,7.804004994673071e-10,0.23703146115040152,1,-0.28798890274315847
WP4760,8.975693785834648e-6,0.23119610483873163,1,-0.35500187334822564
MINERVA Coagulation pathway,1.3827109167204436e-49,0.23116985011744695,1,-0.5020065406120997
WP4904,0.0038113761647794076,0.2311013209310548,1,-0.23094465627618044
WP4883,0.017818680236285234,0.2294576745277662,1,-0.717283953972607
WP170,9.408663175800599e-4,0.2278126980072311,1,-0.33344020739953695
WP4922,6.415835102621583e-10,0.22476747234497077,1,0.21899924866208925
WP4804,0.0036238844431260124,0.22394502652627396,1,0.22301001728501627
WP4823,1.9153104305633375e-7,0.2236917983898809,1,-0.33499922031444657
WP4788,1.4778175523782469e-4,0.22327680040434272,1,0.21003486609480174
WP4317,0.005017063537939928,0.22270987816424753,1,0.16697675878827128
WP3943,0.020986085767921343,0.222506613213734,1,-0.2840381463278736
WP4222,3.629717286385732e-6,0.2218343483142439,1,-0.30085806733755327
WP1941,0.009770916446096822,0.21554275592494643,1,0.09392427607119216
WP4921,5.210897231044673e-6,0.21552003544877052,1,0.17068012724169504
WP734,2.0031045929119915e-5,0.21379148483197938,1,-0.2119835023398498
WP107,6.444163204730914e-17,0.20814275242024777,1,0.1910105382723993
