id,name,difference
WP4211,Transcriptional cascade regulating adipogenesis,0.6614152397922574
WP1425,Bone morphogenic protein (BMP) signaling and regulation,0.3022244697511824
WP5089,Kinin-Kallikrein pathway,-0.3210261780835066
WP5044,Kynurenine pathway and links to cell senescence,-0.3117073560890002
MINERVA Orf10 Cul2 pathway,MINERVA Orf10 Cul2 pathway,-0.3104075789344897
WP3601,Lipid particles composition,-0.3374261733955222
WP4921,Mitochondrial complex III assembly,0.32706416862434207
WP4324,Mitochondrial complex I assembly model OXPHOS system,0.3337877409780395
WP623,Oxidative phosphorylation,0.367419095482818
WP111,Electron transport chain: OXPHOS system in mitochondria,0.40621091898252326
WP4586,Metabolism of alpha-linolenic acid,-0.44799623619579576
WP1424,Globo sphingolipid metabolism,0.37090925503821776
WP4873,Peroxiredoxin 2 induced ovarian failure,-0.44263769353618576
WP4920,Mitochondrial complex II assembly,0.47750678160367366
WP4222,Phosphodiesterases in neuronal function,-0.3173851050511846
WP4224,Purine metabolism and related disorders,-0.32366798645335737
WP4792,Purine metabolism,-0.38367691865941883
WP134,Pentose phosphate metabolism,-0.4357937764121387
WP4720,Eicosanoid metabolism via cytochrome P450 monooxygenases (CYP) pathway,-0.37756786067761045
WP3963,Mevalonate pathway,-0.4121710647560908
WP3413,NOTCH1 regulation of endothelial cell calcification,0.35239939396037423
WP4918,Cellular proteostasis,-0.40680341041278834
WP3944,Serotonin and anxiety-related events,-0.40403118237582614
WP2491,Diclofenac metabolic pathway,-0.3704966578970509
WP4220,Neurotransmitter disorders,0.348021421179455
WP4860,Hijack of ubiquitination by SARS-CoV-2,-0.3066729501128828
