pathway,p_value,effec_size,magnitude,difference
WP702,0.10208389416433897,0.03483175106152856,1,-0.01800083382813328
WP694,0.08505113493513561,0.21610355633735367,1,-0.12401651843957198
WP3633,NA,NA,NA,NA
WP3594,0.189030718636599,0.027592746179658737,1,0.02792762539187775
WP4224,1.1156781191111716e-15,0.32366798645335737,2,-0.37000915316581423
WP4792,2.3077580069997817e-13,0.38367691865941883,2,-0.4409658439858338
MINERVA Nsp14 and metabolism,8.336779951251894e-20,0.18357527191274092,1,-0.2240418625836768
WP2380,2.2083448476460255e-8,0.10099276491738514,1,-0.10997983253417545
WP3859,0.26788733446647267,0.05534955832140558,1,-0.07903741252316861
WP4540,0.4194857920535851,0.019439003672857415,1,0.02401036108349811
WP2118,0.21530850841436733,0.03440823896043958,1,0.04697311155401904
WP4541,0.6142531371604373,0.011234455301259404,1,-0.015045823903731246
WP5097,0.5254565119234613,0.02439294436431196,1,0.04002941094808208
WP2572,0.7734756216664502,0.007420963099525936,1,0.011018360923828827
WP2064,0.9487266491488969,0.002299365329620639,1,-0.0030583612995042538
WP5087,0.0023453642994555215,0.0398999626286368,1,-0.04999205761803092
WP4148,0.5411503291702361,0.022607927644211132,1,0.022967626827550717
WP4239,0.028039909362740457,0.04838876945432682,1,-0.05707116297747132
WP3287,0.2912847237841598,0.055339443192044126,1,-0.0790381154489139
WP4566,1.3066257253997621e-8,0.16508576865973484,1,-0.1389853858817875
WP3931,0.0018538394689806472,0.089375503602356507,1,-0.0859406207483096
WP4205,2.1411126818983398e-8,0.15031891255631744,1,-0.14791815386687
WP185,1.0310547325755266e-6,0.10002000078884862,1,-0.1340059323705217
WP4674,2.3282816435074672e-4,0.09743071313578505,1,-0.08294492524951591
WP4262,7.381798843747394e-7,0.11821859722956875,1,-0.10500810327255167
WP4564,0.028670448370645505,0.08582823059861984,1,-0.10500205640379107
WP3981,1.3597206200246112e-7,0.20579079568098108,1,-0.19994311408733303
WP4155,1.1679621388669926e-5,0.13357382421165773,1,-0.13199075853003514
WP1449,2.6319092062377266e-7,0.11053935991883483,1,-0.11599566402278755
WP2261,1.0573390703275797e-4,0.09297285493986183,1,-0.09300551803897067
WP3929,2.5700157171656e-13,0.13609860307208305,1,-0.1650002459967278
WP4216,1.3306963990171184e-4,0.10759573369222503,1,-0.10997270374438797
WP4685,1.650305097560512e-7,0.15734266299025096,1,-0.15497903863280094
WP4255,2.883545738524355e-11,0.17298091190173487,1,-0.19391869576736162
WP4539,2.952257475514357e-4,0.119333976980344,1,-0.10899088478955933
WP4172,0.09082903261120419,0.024895343384589742,1,-0.03102993884225536
WP3965,0.2389136633297544,0.04574627109712609,1,-0.04797371390698031
WP5124,4.011306508021753e-9,0.08546925267668018,1,-0.08299532557942939
WP710,0.005324052105523949,0.06428954776235951,1,-0.07401568985678217
WP2059,9.3023817915553e-9,0.08304881483386697,1,-0.08092141934522931
WP673,3.83112635510404e-12,0.165270353817412,1,-0.1590739989911094
WP4396,3.303956189325194e-16,0.1451442022468827,1,0.1259474076571787
WP3932,0.030998177108982963,0.03149145144034717,1,-0.040974301635937134
WP4565,0.03726707788645878,0.07811898845776308,1,-0.09493076054651542
WP2643,0.0049537595534866075,0.10494909954699148,1,-0.10905924785360974
WP75,2.1233651267608236e-8,0.14043784752877317,1,-0.13804936069712256
WP4666,1.919964388480848e-16,0.15201337061981524,1,-0.15306270217043721
WP4481,9.59144764334453e-6,0.16427773694683512,1,-0.16704835835794202
WP306,0.9083700201965426,0.0018112141515673245,1,0.002970969795672974
WP4223,1.150383921400829e-4,0.06884385841897976,1,-0.07795188512393367
WP4561,0.045811971779464,0.08709126855387028,1,-0.11403457776385123
WP26,6.861998245567522e-4,0.1551383124117297,1,-0.1669646303295895
WP4746,0.002807025697718503,0.08534225311335865,1,-0.0779177608794246
WP382,3.3999446960555126e-11,0.10712854572314436,1,-0.11996716636945336
WP4658,0.0025877501965011927,0.07175687421642572,1,-0.09497393429455094
