pathway,p_value,effec_size,magnitude,difference
WP4211,6.131324789642427e-8,0.6614152397922574,3,0.736
WP4920,1.9265138043787559e-7,0.47750678160367366,2,0.17599875162098189
WP4586,2.1520137851435177e-4,0.44799623619579576,2,-0.6535
WP4873,4.2875246995474255e-6,0.44263769353618576,2,-0.8671440757965253
WP134,2.315653947126098e-9,0.4357937764121387,2,-0.50403952151219
WP3963,1.9107299373011105e-8,0.4121710647560908,2,-0.24927627547219336
WP4918,3.4531135745201554e-8,0.40680341041278834,2,-0.31303462106755486
WP111,2.2734550456430941e-88,0.40621091898252326,2,0.16499358151956342
WP3944,1.1801481474512403e-4,0.40403118237582614,2,-0.4761209908413892
WP4792,2.3077580069997817e-13,0.38367691865941883,2,-0.4409658439858338
WP4720,0.002579845424613769,0.37756786067761045,2,-0.16896921761933337
WP1424,0.0012453346078404428,0.37090925503821776,2,0.14300540107717738
WP2491,0.010572322004217703,0.3704966578970509,2,-0.01601518527279929
WP623,4.86790938537199e-46,0.367419095482818,2,0.1519969038794117
WP3413,1.763571845781086e-6,0.35239939396037423,2,0.46399109429962593
WP4220,0.01635861361889559,0.348021421179455,2,0.06799555138037924
WP3601,3.3229575270476045e-6,0.3374261733955222,2,-0.3479413273452222
WP4324,6.78888551567815e-34,0.3337877409780395,2,0.15100831926683433
WP4921,9.475499162349024e-11,0.32706416862434207,2,0.17402860476925727
WP4224,1.1156781191111716e-15,0.32366798645335737,2,-0.37000915316581423
WP5089,7.620846785389268e-5,0.3210261780835066,2,-0.2840656949879593
WP4222,1.6415464877652556e-9,0.3173851050511846,2,-0.4709047246270765
WP5044,4.200121463229909e-6,0.3117073560890002,2,-0.19997706877383262
MINERVA Orf10 Cul2 pathway,3.144165487134651e-63,0.3104075789344897,2,-0.2740774609668871
WP4860,3.0483655444544623e-5,0.3066729501128828,2,-0.3291488484249543
WP1425,0.04147936279858848,0.3022244697511824,2,0.18521899090946806
WP732,1.0227147852607656e-7,0.29083797368249914,1,-0.2239995479322579
WP78,2.6837749991057536e-11,0.2908077780686206,1,0.11693437018250616
WP2291,2.5356825554194978e-6,0.28482077954298446,1,-0.4240039751394185
WP3982,7.957650961789029e-7,0.2799536588946681,1,-0.35202801790641586
WP4922,6.513554454847703e-13,0.2767230491371272,1,0.12093621682301488
WP4784,1.080090955880177e-5,0.27671073365381976,1,0.22902198772039403
WP3943,0.0025683095004075235,0.2766467739137282,1,-0.2907406760403233
