pathway,p_value,effec_size,magnitude,difference
WP702,0.13411465347386498,0.04785774643113575,1,-0.03997238665099826
WP694,0.17102162039971291,0.2537178430963305,1,-0.025985008641603486
WP3633,0.7959362618805345,0.06761234037828132,1,-0.007500000000000007
WP3594,0.4690252632027432,0.02400673257479442,1,0.025983805577886376
WP4224,0.690428530629444,0.02824858226450309,1,0.03945006760953734
WP4792,0.47210024639729786,0.06588101335664379,1,0.11560025386915046
MINERVA Nsp14 and metabolism,0.5812344338319645,0.018598312790040667,1,0.0220257127020798
WP2380,0.31369150589340256,0.030948393256418186,1,0.029966972188446867
WP3859,0.9165600860194735,0.009392935429088891,1,0.009952626746332198
WP4540,0.574934582536103,0.023499937165576867,1,0.02193409613058761
WP2118,0.3221152644361465,0.04722001170829783,1,0.049077972595177745
WP4541,0.4950344007620509,0.025614012621127467,1,0.031025834597203122
WP5097,0.8808424369851338,0.010422541710245108,1,0.01096444925614269
WP2572,0.14169691769680923,0.0677986974006606,1,0.07108465898940095
WP2064,0.17329746698931392,0.07499002806845471,1,0.08101367489390718
WP5087,0.23244744502600187,0.026503209019220802,1,0.02802819344736185
WP4148,0.8640462236998362,0.01027680503998064,1,0.010027674236998858
WP4239,0.677092928909189,0.014637253027173117,1,0.016073397665429135
WP3287,0.6997981481977982,0.037049844971366395,1,0.04594858594367693
WP4566,0.5302070839713882,0.032223772148340206,1,0.0270550378467404
WP3931,0.8051440056879571,0.011046394036444444,1,0.010002757350409335
WP4205,0.169084778581873,0.06278176710088716,1,0.04999838702795652
WP185,0.31775833020032457,0.035328046885737145,1,0.0360243381423789
WP4674,0.5784967696060994,0.024614881372070827,1,0.02003444488994114
WP4262,0.36765211437075834,0.03534361440208421,1,0.03202896609414097
WP4564,0.18817246330987716,0.0868401230286234,1,0.06507720261402049
WP3981,0.14032025550078783,0.09331717515780781,1,-0.07206011852466217
WP4155,0.7869323356597426,0.013536437139770444,1,0.011998536566736398
WP1449,0.5911422029421258,0.020310619331555698,1,-0.016983711025216387
WP2261,0.7447700340502944,0.013646154610522432,1,0.012037298459111839
WP3929,0.527946863749396,0.02104238265433705,1,0.01896269018615109
WP4216,0.4686425953676093,0.03456608475218567,1,0.02798314600940265
WP4685,0.5589457557883452,0.029615402254616383,1,0.02403845860254951
WP4255,0.7031799076085616,0.01705408734209646,1,-0.014013839331963415
WP4539,0.7300901839673397,0.019320174156190584,1,0.015992167245694074
WP4172,0.99739680138403,8.211510857474598e-5,1,-4.7894585598189446e-5
WP3965,0.1041559022331665,0.10283131521511783,1,-0.09695529644735176
WP5124,0.6243907553807382,0.01173929362788659,1,0.01202095094727834
WP710,0.4799551660640765,0.028151361648697824,1,0.02598752351650936
WP2059,0.6270955344741198,0.011581372947821649,1,0.01200797177485663
WP673,0.3569766510167587,0.03613832780275921,1,0.031053350271902116
WP4396,0.786209450706097,0.008218418867392219,1,0.005935811486667695
