pathway,p_value,effec_size,magnitude,difference
WP702,9.534833354883732e-9,0.15706738687148616,1,0.13899114135555923
WP694,0.005446952703268772,0.5112225196717106,3,-0.5010156618881411
WP3633,0.5358197358197359,0.17928429140015903,1,-0.14699999999999996
WP3594,8.70915815041671e-17,0.1870055059336069,1,0.11399183986858497
WP4224,3.0391252248961367e-5,0.17469428861220118,1,-0.11903240312076194
WP4792,7.445202060051858e-7,0.2724859110432832,1,-0.18792162615370145
MINERVA Nsp14 and metabolism,0.7133858314319759,0.007987718979764944,1,0.005012176944365466
WP2380,2.7652370049810517e-8,0.11270334588227815,1,0.06499396544669948
WP3859,0.8704717233095736,0.008279576080081444,1,-0.005936483477280724
WP4540,9.487267040248067e-9,0.15535464617232153,1,0.09697797718951146
WP2118,0.02497071709440729,0.06822045702271072,1,0.05407108633263079
WP4541,0.33230719982504575,0.023654046345512086,1,0.0140352416707341
WP5097,0.8764789314538146,0.006355193954758586,1,-0.0049393757068417156
WP2572,5.1140402497394214e-5,0.11343470612443282,1,0.07105626656258045
WP2064,0.013647648011183953,0.08831719731609802,1,0.06505209296577669
WP5087,6.594678933652172e-4,0.04947021894422821,1,0.0330515404063131
WP4148,0.3879493477044362,0.030625070027049596,1,-0.021041609879996
WP4239,2.1349257567738142e-7,0.12329608685863916,1,0.08297656812008944
WP3287,0.0010686584711872783,0.19916272483968683,1,0.16504997432673427
WP4566,0.4525680401819773,0.024246715672756245,1,0.013030127687426566
WP3931,0.007386964493173446,0.07987140046104944,1,0.05198846011899991
WP4205,0.1275620567616904,0.04605155423736922,1,0.023939107831176278
WP185,0.8154229354673147,0.005131577488704652,1,0.0030209094583121985
WP4674,0.041048124385508214,0.06051239300023515,1,0.0340422429513518
WP4262,0.025126235137375264,0.05901652789481439,1,0.03397376061353814
WP4564,0.23488614480885622,0.05601363541106742,1,0.038043727786823855
WP3981,0.6156333121096544,0.02368388744013158,1,0.011971226092263766
WP4155,0.8717471875797053,0.005677685634679131,1,-0.003020667383876457
WP1449,1.8480105053533015e-6,0.12838899890291375,1,0.07698238038990522
WP2261,0.48847851154249977,0.019634924377451166,1,0.011035756442674764
WP3929,1.6353520825408988e-9,0.13450927174906965,1,0.0790215031301771
WP4216,0.7282799581564251,0.010802087924578855,1,0.0060527488241385536
WP4685,0.14992021656819085,0.04840321628297083,1,-0.02792181321075493
WP4255,0.016797777927696746,0.07226180840445769,1,-0.04696408506058483
WP4539,0.6425199103972643,0.01748893616001816,1,-0.00996289707080682
WP4172,4.99841834579744e-4,0.0556314123106742,1,0.03801973019504733
WP3965,5.0028187395292984e-5,0.16158351964105883,1,0.0969531617833083
WP5124,1.1355068027590623e-20,0.1443671710867182,1,0.08804611576503248
WP710,1.2863301183287515e-8,0.14911557145989823,1,0.09097575642870231
WP2059,2.423749917268342e-21,0.1463569774867794,1,0.08999270711292393
WP673,0.5517649462106982,0.016475972166986805,1,0.008966171510790806
WP4396,2.2357055056666412e-32,0.23188982440261327,1,0.15898302823604238
WP3932,1.3128473258924517e-7,0.08307493623224045,1,0.05893492214060886
WP4565,0.021713450033564022,0.10165282118985611,1,0.07198656221847322
WP2643,0.2704601650810241,0.04557234948290875,1,0.022966723383785116
WP75,0.004010076292219899,0.08817300531106695,1,0.051984486839824984
WP4666,9.726286060891518e-4,0.07096943561081118,1,0.04102422086062207
WP4481,0.045526319261759776,0.0898965958450287,1,0.042973661846658635
WP306,0.00589737125605073,0.0457955192177205,1,0.03298215366483931
WP4223,5.923574692882137e-11,0.13531536662882687,1,0.07898907944745234
WP4561,2.6008889526383893e-4,0.17512381924320192,1,0.13404652312724175
WP26,0.582023717105087,0.031817581856410995,1,0.018974082506137867
WP4746,0.6050848075927006,0.015218066792697254,1,0.010037037946420932
WP382,2.7781981695138953e-6,0.0859961490111397,1,0.05300278493762255
WP4658,0.2707446087218753,0.028874750201699027,1,0.0200004716571243
WP4483,0.251754317317422,0.06620846530656045,1,0.031053881054367342
WP4263,0.002040668969191171,0.08003771675938309,1,0.047954025335838854
