pathway,p_value,effec_size,magnitude,difference
WP2879,3.652541602549497e-8,0.8226094462285859,3,0.6500175524677103
WP5089,3.4867702268263716e-17,0.6883771728477851,3,-0.7620036712502809
WP2874,2.150627472641388e-4,0.6399036665850263,3,0.565
WP4873,7.591108058938207e-7,0.6394281241138932,3,-0.45664798978995397
WP299,4.78140702610511e-4,0.6096123687585162,3,0.30400000000000005
WP3601,2.705359276645928e-17,0.6058259757339429,3,-0.8112237617413998
WP4804,3.317103893095641e-11,0.6056335489754701,3,0.44603154676817486
WP4724,2.823361837417784e-9,0.5426265777015189,3,0.3899838282703276
WP4586,0.0027018740371816154,0.5338841241922408,3,0.5129999999999999
WP4723,2.7397134667963245e-10,0.5155941874863297,3,0.38394463627364694
WP694,0.005446952703268772,0.5112225196717106,3,-0.5010156618881411
WP2881,7.134289453358321e-8,0.4920721323017064,2,0.40200916145903165
WP5109,5.472523757516739e-13,0.4809361326777967,2,-0.5929746113059462
WP4142,2.3719608317222194e-8,0.4806475101006595,2,0.4889838277372871
WP4883,3.66506736192069e-5,0.477230542782165,2,-0.3901575644255411
WP4927,2.2571752310978808e-10,0.47286637858213265,2,-0.5714792386789479
MINERVA Virus replication cycle,1.3097789830795115e-13,0.4637832278685334,2,0.35398337210520503
WP2011,1.2905044547537093e-5,0.460189810578002,2,0.2949638725909014
WP4211,0.011256007703062813,0.45815587962596555,2,0.46599999999999997
WP5065,2.755109084638122e-6,0.45784201142813996,2,0.4032983916058207
WP4191,1.5227105270178567e-5,0.45636010577341557,2,0.35902616881665345
WP1941,7.851592954533275e-7,0.4511083989494529,2,0.28896667401847864
WP4522,2.837315933595017e-12,0.45097566987861726,2,-0.5279430669706328
WP1991,0.0030436010778677656,0.4434351331331043,2,0.17400062931114618
WP3875,0.016128459987089148,0.44305951704881597,2,0.24999066113906213
WP4480,2.0173658118390502e-8,0.43690411222982267,2,0.2369720726274101
WP4815,6.862944050238874e-15,0.4286909404552347,2,0.3619271141742134
WP5027,1.4311964469018957e-20,0.42440846331598214,2,0.22095817100438822
WP272,1.8080735275349508e-16,0.40918027212055336,2,-0.5030305070032848
WP4562,2.411030865618383e-6,0.4060360801154768,2,0.18198167813531885
WP430,1.4478327763771374e-14,0.40543391654456606,2,-0.47403572777731917
MINERVA Coagulation pathway,4.921858596456371e-104,0.40466070638278034,2,-0.4289375676291792
WP4240,1.9494572894556156e-7,0.387996857473171,2,0.15896999223633795
WP4337,2.1997800772198492e-6,0.3866949531161084,2,0.2279784146621726
WP1600,0.00966674811281253,0.3824799160445742,2,0.305
WP1422,1.1465922006465701e-11,0.38242691941985246,2,0.25501062385560547
WP4790,3.4740033068954435e-6,0.37905680349859755,2,0.21999006736550009
WP4479,2.8592022314699047e-8,0.37005805555270344,2,0.20900576220548087
WP4462,4.958941212781465e-4,0.367562113254433,2,0.40407619815587137
WP4788,1.2480738159799538e-7,0.3648685068227395,2,0.19899091371300257
